,category_cluster,supplier_name,2019-08-01,2019-08-02,2019-08-03,2019-08-04,2019-08-05,2019-08-06,2019-08-07,2019-08-08,2019-08-09,2019-08-10,2019-08-11,2019-08-12,2019-08-13,2019-08-14,2019-08-15,2019-08-16,2019-08-17,2019-08-18,2019-08-19,2019-08-20,2019-08-21,2019-08-22,2019-08-23,2019-08-24,2019-08-25,2019-08-26,2019-08-27,2019-08-28,2019-08-29,2019-08-30,2019-08-31,2019-09-01,2019-09-02,2019-09-03,2019-09-04,2019-09-05,2019-09-06,2019-09-07,2019-09-08,2019-09-09,2019-09-10,2019-09-11,2019-09-12,2019-09-13,2019-09-14,2019-09-15,2019-09-16,2019-09-17,2019-09-18,2019-09-19,2019-09-20,2019-09-21,2019-09-22,2019-09-23,2019-09-24,2019-09-25,2019-09-26,2019-09-27,2019-09-28,2019-09-29,2019-09-30,2019-10-01,2019-10-02,2019-10-03,2019-10-04,2019-10-05,2019-10-06,2019-10-07,2019-10-08,2019-10-09
0,EL,"ID_XDC Indonesia, PT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,EL,"ID_X-com Media, CV",-0.95873547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5491171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5559998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26883125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,FMCG,"ID_Wicaksana Overseas International, PT",-0.13832855,16.954437,10.596535,0.0,4.238617,6.3579025,27.55095,14.835136,21.193054,25.431648,2.1193085,2.1192932,31.789581,0.0,0.0,4.2385864,10.596542,21.193039,8.477226,19.073738,10.596523,8.4772,14.835144,2.1193085,6.3579025,10.596535,16.954437,12.71582,31.789558,14.322739,15.049849,103.09535,89.13802,48.60359,127.46713,115.19773,120.39221,46.18493,40.48606,242.81998,179.87222,313.71472,268.16644,139.01898,52.18325,36.27025,79.31308,37.418633,33.208775,0.0,25.741222,43.668716,14.409785,18.313152,34.4628,207.62819,322.58423,436.55502,418.31464,277.0229,123.69616,87.2342,138.721,142.73523,75.118195,29.883377,34.874786,64.02395,108.41701,97.38528
3,Lifestyle,"ID_Wateru Natural Alkalindo, PT",2.826807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7217846,0.0,0.46336842,0.0,0.0,0.7752514,1.185154,0.77525043,1.8089194,0.92673683,0.25841713,0.0,0.5168338,0.72178555,1.5505018,3.617838,0.258417,0.0,0.46336842,0.07779598,0.0,-1.9073486e-06,0.0,1.4760923,0.4568863,2.0631723,2.4258041,3.5057163,3.5943766,2.9953167,15.22499,6.409176,0.44729996,1.734889,1.3514872,2.1087017,2.948989,0.0,0.0,2.6838036,0.44729996,2.2844276,1.3419018,3.1055393,3.1311035,3.1886134,0.8946018,4.2908907,2.5560007,0.6892667,2.6905708,3.0749369,8.161401,0.4484284,0.44842863,1.3645031,1.3452857,2.6849658
4,FMCG,"ID_Walla Tritunggal, PT",150.18004,184.5185,162.41916,82.43463,138.46022,102.56338,148.68018,226.38405,128.07141,116.78242,141.81065,228.18542,143.78079,116.78221,68.69534,247.89339,262.11188,267.91232,155.54965,176.15845,136.91129,212.95589,144.26031,68.695465,309.12946,164.86905,212.95584,151.12996,189.89749,75.56497,164.86905,103.562744,349.8031,270.4643,237.07016,275.29523,207.08806,162.56235,245.31316,245.7861,81.28119,184.8252,115.14833,33.86716,103.07108,27.093725,82.11178,263.86884,235.3568,45.88034,69.02486,84.23285,73.900505,63.401672,155.81401,90.252464,227.67587,122.49654,106.71331,179.55922,57.663452,290.02753,396.4106,543.23926,106.87981,148.45544,62.651794,201.69038,101.33196,153.24731
5,EL,"ID_Wahana Bersama Abadi, PT",-3.7597656,197.6607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.02551,243.02551,243.02539,243.02551,243.02545,0.0,0.0,243.02545,243.02548,0.0,121.51273,0.0,0.0,0.0,0.0,3.309494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.588089,0.0,0.0,0.0,0.0,112.10712,112.10715,0.0,0.0
6,FMCG,"ID_WINIDA LESTARI INTERNATIONAL, PT",-35.60155,3.6518288,15.469305,6.3964806,10.071134,5.2623672,9.435741,28.783646,33.388412,11.681369,7.099596,9.957857,51.987152,3.6292324,47.473522,12.702068,21.162674,34.8853,13.586745,26.493343,9.617179,31.551258,30.825327,19.665714,66.25463,20.550179,17.147913,21.34403,33.161526,21.298502,26.242981,50.18259,16.773672,3.6006775,35.64911,32.987976,25.562876,26.860083,8.7223625,21.694103,34.083935,29.767975,39.943516,61.01149,11.003623,3.4218597,13.307238,10.981079,10.108837,0.0,5.4569693,28.87321,0.0,4.6742783,7.872554,24.713156,20.575722,11.003504,24.75801,21.448025,23.5057,29.933887,98.65352,160.67099,37.129776,13.699257,7.8025656,19.461416,12.847445,33.362694
7,FMCG,"ID_WINIDA AYU LESTARI, PT",-25.399748,1.8145485,13.6094055,11.341257,3.425005,0.0,19.347832,19.438805,23.067762,17.238516,4.7633533,1.8145504,47.542522,1.8145504,18.35003,10.77417,8.664491,35.65641,10.2071495,12.18046,1.9960489,18.962389,21.52553,6.35107,25.517704,1.5877873,5.8973966,10.479179,23.793896,3.4024067,19.37059,35.38032,4.2269635,9.035648,18.20506,13.821492,14.738625,8.096084,3.5784664,6.5305767,12.837567,12.92704,14.962225,35.336647,30.304932,4.4059215,26.256504,2.9969583,1.8786421,1.8786426,11.585135,4.472978,0.0,0.0,2.571988,2.3930244,11.204638,1.3866119,6.9779043,1.3866119,5.635928,4.504947,30.941137,90.1116,39.5963,1.793745,5.067235,5.5829134,9.820532,39.103065
8,EL,"ID_Visimoda Andalan, PT",18.194092,103.885254,86.97089,44.975952,21.969482,20.997437,153.72168,60.983276,57.937256,38.948975,11.989258,53.91931,32.986633,4.9901123,9.980225,53.91919,6.9991455,6.9991455,4.9901123,0.0,11.98938,6.9991455,0.0,6.9991455,32.986694,6.9991455,0.0,6.9991455,21.969482,126.956665,108.87549,63.073273,76.80789,35.46457,50.225525,91.56879,14.760925,43.32431,35.46457,78.78882,210.8065,137.89647,56.168205,37.445488,64.02794,36.42304,38.40397,33.48365,19.681213,4.920288,9.840607,41.343357,19.681213,29.521835,4.9203033,21.662128,9.840622,49.203033,29.521835,29.521828,0.0,24.378204,9.8654175,24.663559,14.79813,19.730844,0.0,0.0,0.0,0.0
9,FMCG,"ID_Unza Vitalis, PT",2289.429,2705.2024,4947.3306,1215.9353,2903.374,2817.6,2314.99,2787.6694,2093.0837,2241.0933,782.0132,2031.9152,5599.329,2654.4612,2549.149,2525.209,5893.2837,7466.13,4598.4414,6429.487,4235.955,5332.4546,5821.334,1621.52,5357.397,5084.5767,4706.5166,4016.8367,5891.2183,5562.5913,3391.2834,4845.5615,4714.8936,5398.1836,6540.4404,4069.079,4744.318,2936.6375,3681.4587,4841.5776,3775.1245,6936.5684,3773.6143,3865.3943,3658.0002,2938.657,3597.0366,2750.7595,2824.9521,4541.3594,4311.6006,3710.228,1891.5066,1577.6683,5201.1147,6844.632,7791.62,2105.3655,4702.7656,9239.08,1865.4786,8541.471,12000.011,16225.435,7403.6987,3764.8433,3036.432,4033.0405,4414.08,4332.262
10,FMCG,"ID_United Harvest Indonesia, PT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.901226,3.2991333,18.834143,1.3933411,10.2659,1.3933411,4.964857,12.444044,9.016861
