,category_cluster,supplier_name,2019-08-01,2019-08-02,2019-08-03,2019-08-04,2019-08-05,2019-08-06,2019-08-07,2019-08-08,2019-08-09,2019-08-10,2019-08-11,2019-08-12,2019-08-13,2019-08-14,2019-08-15,2019-08-16,2019-08-17,2019-08-18,2019-08-19,2019-08-20,2019-08-21,2019-08-22,2019-08-23,2019-08-24,2019-08-25,2019-08-26,2019-08-27,2019-08-28,2019-08-29,2019-08-30,2019-08-31,2019-09-01,2019-09-02,2019-09-03,2019-09-04,2019-09-05,2019-09-06,2019-09-07,2019-09-08,2019-09-09,2019-09-10,2019-09-11,2019-09-12,2019-09-13,2019-09-14,2019-09-15,2019-09-16,2019-09-17,2019-09-18,2019-09-19,2019-09-20,2019-09-21,2019-09-22,2019-09-23,2019-09-24,2019-09-25,2019-09-26,2019-09-27,2019-09-28,2019-09-29,2019-09-30,2019-10-01,2019-10-02,2019-10-03,2019-10-04,2019-10-05,2019-10-06,2019-10-07,2019-10-08,2019-10-09
0,EL,"ID_XDC Indonesia, PT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,EL,"ID_X-com Media, CV",110.72238,110.72238,110.72238,110.72238,110.72238,110.72238,110.72238,110.72238,110.72238,110.72238,110.72238,110.72238,110.72238,110.72238,110.72238,110.72238,110.72238,110.72238,110.72238,110.72238,110.72238,110.72238,110.72238,110.72238,110.72238,110.72238,110.72238,110.72238,110.72238,110.72238,110.72238,109.17327,109.17327,109.17327,109.17327,109.17327,109.17327,109.17327,109.17327,109.17327,109.17327,106.61727,106.61727,106.61727,106.61727,106.61727,106.61727,106.61727,106.61727,106.61727,106.61727,106.61727,106.61727,106.61727,106.61727,106.61727,106.61727,106.61727,106.61727,106.61727,106.61727,106.8861,106.8861,106.8861,106.8861,106.8861,106.8861,106.8861,106.8861,106.8861
2,FMCG,"ID_Wicaksana Overseas International, PT",743.8759,726.92145,716.32495,716.32495,712.0863,705.7284,678.1774,663.3423,642.1493,616.7176,614.5983,612.479,580.68945,580.68945,580.68945,576.45087,565.8543,544.66125,536.184,517.1103,506.51376,498.03656,597.98645,595.8672,589.5093,578.9127,561.9583,549.2425,2951.424,3056.673,3041.6233,2938.5278,2873.912,2825.3086,2697.8413,2582.6436,2462.2515,2416.0664,2375.5806,2132.7605,1952.8883,1639.1735,1371.0071,1231.9882,1179.8048,1143.5345,1064.2216,1026.8029,993.5941,993.5941,967.8529,924.1842,909.7744,2813.9163,2779.4536,2571.8252,2291.9988,1861.8337,1443.5192,1166.4962,1042.8,955.5659,816.8449,674.1097,598.9915,569.1081,534.23334,8191.412,8148.481,8051.0957
3,Lifestyle,"ID_Wateru Natural Alkalindo, PT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.604048,18.882263,18.882263,18.418896,18.418896,18.418896,17.643642,16.458488,15.683239,13.874319,12.947582,12.689165,12.689165,12.172332,11.450546,9.900044,6.2822065,6.0237894,6.0237894,5.560421,5.482625,5.482625,43.08781,43.08781,151.51982,151.06293,148.99976,146.57396,143.06824,139.47386,136.47855,121.253555,114.84438,114.39708,112.66219,111.31071,109.202,106.25301,106.25301,106.25301,103.569214,103.12191,100.83749,99.49558,96.390045,93.25894,90.07033,89.17572,84.884834,82.328835,81.639565,78.949,75.874054,67.712654,126.45676,126.00833,124.64383,123.29854,120.61357
4,FMCG,"ID_Walla Tritunggal, PT",5183.465,4998.947,4836.5273,4754.093,4615.6323,4513.0693,4364.389,4138.005,4009.9336,3893.1511,3751.3406,3523.155,3379.3743,3262.592,3193.8967,2946.0034,2683.8914,2415.9792,3149.6333,2973.4749,2836.5635,2623.6077,2479.3472,2410.6519,2101.5222,1936.6532,1723.6974,1572.5674,1382.6699,1307.105,1142.236,1038.6732,1745.5255,2348.9866,2111.9165,1836.6212,1629.5331,1466.9708,1221.6576,975.8715,894.59033,709.76514,594.6168,560.74963,457.6786,430.58484,5801.117,5537.2485,5301.8916,5256.011,5186.987,5102.754,5028.853,4965.4517,4809.6377,5741.151,5513.4746,5390.9785,5284.265,5104.7056,5047.0425,4757.0146,4360.604,3817.365,3710.485,3562.0298,3499.378,3425.6821,3324.35,3171.1028
5,EL,"ID_Wahana Bersama Abadi, PT",434.20544,236.54472,236.54472,236.54472,236.54472,236.54472,236.54472,236.54472,236.54472,236.54472,236.54472,236.54472,236.54472,236.54472,236.54472,2059.2358,1816.2102,1573.1847,1330.1593,1087.1338,844.1084,844.1084,844.1084,601.08295,358.05746,358.05746,236.54472,236.54472,236.54472,236.54472,236.54472,233.23523,233.23523,233.23523,233.23523,233.23523,233.23523,233.23523,233.23523,233.23523,233.23523,233.23523,233.23523,233.23523,233.23523,233.23523,233.23523,233.23523,233.23523,233.23523,233.23523,233.23523,233.23523,233.23523,233.23523,233.23523,233.23523,233.23523,233.23523,233.23523,233.23523,233.82332,3004.4702,3004.4702,3004.4702,3004.4702,2892.363,2780.2559,2780.2559,2780.2559
6,FMCG,"ID_WINIDA LESTARI INTERNATIONAL, PT",4251.6406,4247.989,4232.5195,4226.123,4216.052,4210.7896,4201.3535,4172.57,4125.096,4113.4146,4106.315,4096.3574,4044.37,4040.7407,3993.2673,3980.5652,3959.4026,3924.5173,3910.9304,3884.4373,3874.82,3843.2688,3812.4434,3792.7776,3726.523,3705.973,3688.825,3667.481,3634.3193,3613.021,3586.7778,3536.5952,3519.8215,3516.221,3480.5718,3447.584,3422.021,3395.161,3386.4385,3364.7444,3330.6606,3300.8926,3260.949,3199.9375,3188.9338,3185.512,3172.2048,3161.2236,3151.115,3151.115,3145.658,3116.7847,3116.7847,3112.1104,3104.2378,3079.5247,3058.949,3047.9456,3023.1875,3001.7395,2978.234,2948.2998,3648.604,3487.9329,3450.8032,3437.1038,3429.3013,3409.8398,3396.9924,3363.6296
7,FMCG,"ID_WINIDA AYU LESTARI, PT",2933.352,2931.5376,2917.9282,2906.587,2903.1619,2903.1619,2883.814,2864.3752,2839.7197,2822.4812,2817.7178,2815.9033,2768.3608,2766.5461,2748.1963,2737.422,2728.7576,2693.101,2682.894,2670.7136,2668.7175,2649.7551,2628.2295,2621.8784,2596.3608,2591.7336,2585.8362,2575.357,2551.563,2548.1606,2528.79,2493.41,2489.1829,2480.1472,2461.9421,2448.1206,2433.382,2425.286,2421.7075,2415.1768,2402.3394,2389.4124,2374.45,2339.1133,2308.8083,2304.4026,2278.146,2275.1492,2273.2705,2271.3918,2259.8066,2255.3337,2255.3337,2255.3337,2252.7617,2250.3687,2239.164,2237.7773,2230.7996,2229.4128,2223.777,2219.272,2274.9668,2516.335,2476.7388,2474.945,2469.8777,2464.295,2454.4744,2415.3713
8,EL,"ID_Visimoda Andalan, PT",2587.9956,2484.1104,2397.1394,2352.1636,2330.194,2309.1965,2155.4749,2094.4917,2036.5544,1997.6055,1985.6162,1931.6968,1898.7102,1893.7201,1883.7399,1829.8207,1822.8215,1815.8224,1810.8323,1810.8323,1798.8429,1791.8438,1791.8438,1784.8446,1751.8579,1744.8588,1744.8588,1737.8596,1715.8901,1588.9335,1480.058,1416.9847,1340.1768,1304.7123,1254.4867,1162.918,1148.157,1104.8328,1069.3682,990.57935,779.7728,641.87634,585.7081,548.26263,484.2347,447.81168,409.40768,375.92404,356.24283,351.32254,341.48193,300.13858,280.45737,250.93553,252.91644,231.25432,221.4137,172.21066,142.68883,113.167,113.167,88.788795,78.92338,54.25982,39.46169,19.730844,19.730844,19.730844,19.730844,19.730844
9,FMCG,"ID_Unza Vitalis, PT",155980.02,153274.81,148327.47,147111.55,144208.17,141390.56,142197.92,139410.25,137294.2,135053.11,134271.1,132239.17,126639.85,123985.39,121436.24,118911.03,113017.75,105551.62,110722.4,104292.914,100056.95,112304.766,125352.02,139081.78,139345.05,134260.47,129553.96,125537.125,119645.91,114083.31,110692.03,105846.47,101131.57,96954.49,90414.055,86319.62,81575.3,78638.664,74957.2,70115.625,66340.5,59403.93,55630.316,51764.92,66565.36,63626.7,60029.664,98161.11,95336.16,90858.34,86546.75,82836.516,80945.016,141007.72,149936.56,143173.4,150494.48,148389.12,143686.36,134447.27,132581.8,123948.516,130329.58,118192.555,110943.33,107178.484,104142.05,100109.01,95694.93,91362.664
10,FMCG,"ID_United Harvest Indonesia, PT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678.6292,1150.6091,1150.6091,1150.6091,1153.5104,1150.2113,1131.3772,1129.9838,1119.7179,1118.3246,1113.3597,1100.9156,1091.8988
11,Lifestyle,"ID_Unitama Sari Mas, PT",151.7471,142.13042,132.35121,130.26872,129.49667,95.72995,95.72995,91.98825,85.07034,76.940186,71.8745,64.28951,64.28951,57.82196,57.82196,53.758575,49.65456,42.367558,42.367558,42.367558,42.367558,31.193249,29.161556,28.14571,28.14571,27.129864,27.129864,27.129864,27.129864,27.129864,24.041693,23.705324,22.703691,22.703691,20.700424,20.700424,20.700424,20.700424,20.700424,20.700424,20.700424,20.700424,20.700424,20.700424,20.700424,20.700424,16.560339,16.560339,12.420255,12.420255,12.420255,12.420255,12.420255,12.420255,553.94336,553.94336,553.05524,553.05524,553.05524,540.1709,539.09247,539.3706,481.03232,399.4511,390.3869,353.8556,352.81796,352.13177,348.88165,347.5093
12,FMCG,"ID_Unirama Duta Niaga, PT",10114.791,9335.119,8608.136,8346.22,7833.241,7358.863,6829.67,6171.68,5515.702,4954.269,4758.9473,4427.5977,33785.055,33377.426,32830.094,34608.07,33877.492,33185.523,32747.799,32191.36,31620.412,30870.473,30333.596,30139.234,29275.299,28560.543,34227.27,33608.246,32705.928,31979.197,31168.707,30300.998,29346.07,33445.387,32351.166,31162.762,29910.512,28934.75,28007.516,26918.63,25695.64,23435.074,22234.607,21795.8,20929.635,20424.023,19646.383,19177.46,17771.695,17562.041,17006.707,16510.902,16212.86,15886.9375,22709.717,22381.842,18577.404,14501.652,10973.173,8333.544,7309.0464,6504.4614,5545.927,4940.741,4527.599,4203.6973,4067.4285,88091.4,87562.81,87101.625
