,category_cluster,supplier_name,2019-08-01,2019-08-02,2019-08-03,2019-08-04,2019-08-05,2019-08-06,2019-08-07,2019-08-08,2019-08-09,2019-08-10,2019-08-11,2019-08-12,2019-08-13,2019-08-14,2019-08-15,2019-08-16,2019-08-17,2019-08-18,2019-08-19,2019-08-20,2019-08-21,2019-08-22,2019-08-23,2019-08-24,2019-08-25,2019-08-26,2019-08-27,2019-08-28,2019-08-29,2019-08-30,2019-08-31,2019-09-01,2019-09-02,2019-09-03,2019-09-04,2019-09-05,2019-09-06,2019-09-07,2019-09-08,2019-09-09,2019-09-10,2019-09-11,2019-09-12,2019-09-13,2019-09-14,2019-09-15,2019-09-16,2019-09-17,2019-09-18,2019-09-19,2019-09-20,2019-09-21,2019-09-22,2019-09-23,2019-09-24,2019-09-25,2019-09-26,2019-09-27,2019-09-28,2019-09-29,2019-09-30,2019-10-01,2019-10-02,2019-10-03,2019-10-04,2019-10-05,2019-10-06,2019-10-07,2019-10-08,2019-10-09
0,EL,"ID_XDC Indonesia, PT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,EL,"ID_X-com Media, CV",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,FMCG,"ID_Wicaksana Overseas International, PT",559.4964,559.4964,559.4964,559.4964,559.4964,559.4964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.78505,114.78505,114.78505,114.78505,114.78505,114.78505,2548.7563,2668.328,2668.328,2630.9954,2655.5176,2655.5176,2655.5176,2655.5176,2655.5176,2655.5176,2655.5176,2655.5176,2655.5176,2655.5176,2655.5176,2655.5176,2655.5176,2655.5176,2655.5176,2655.5176,2655.5176,2655.5176,2655.5176,2655.5176,2542.3386,4464.7935,4464.7935,4464.7935,4507.5513,4513.9414,2114.024,1996.1251,1996.1251,2001.1583,1976.5742,1976.5742,1976.5742,1976.5742,1976.5742,9697.777,9763.263,9763.263
3,Lifestyle,"ID_Wateru Natural Alkalindo, PT",28.158543,28.158543,28.158543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.604048,19.604048,19.604048,19.604048,19.604048,19.604048,19.604048,19.604048,19.604048,19.604048,19.604048,19.604048,19.604048,19.604048,19.604048,19.604048,19.604048,19.604048,19.604048,19.604048,19.32977,19.32977,56.93495,56.93495,166.84305,166.84305,166.84305,166.84305,166.84305,166.84305,147.51329,147.51329,147.51329,147.51329,147.51329,147.51329,147.51329,147.51329,147.51329,147.51329,147.51329,147.51329,147.51329,147.51329,147.51329,147.51329,147.51329,147.51329,147.51329,147.51329,147.88524,147.88524,110.18523,110.18523,59.192528,59.192528,59.192528,59.192528,59.192528
4,FMCG,"ID_Walla Tritunggal, PT",7519.4277,7107.255,7107.255,7107.255,7107.255,7107.255,7107.255,7107.255,7107.255,7107.255,7107.255,7107.255,7107.255,5682.2266,5682.2266,5682.2266,5682.2266,5682.2266,6571.43,6571.43,6571.43,6571.43,6571.43,889.2037,889.2037,889.2037,889.2037,889.2037,889.2037,889.2037,889.2037,876.7628,1933.4182,2807.3435,2807.3435,2807.3435,2807.3435,2807.3435,2807.3435,2807.3435,2807.3435,2807.3435,2807.3435,2807.3435,2807.3435,2807.3435,8259.987,8259.987,7383.225,7383.225,7383.225,7383.225,7383.225,7383.225,7383.225,8404.99,8404.99,8404.99,8404.99,8404.99,8404.99,8426.184,7366.864,6490.735,6490.735,6490.735,6490.735,6618.7295,6618.7295,6618.7295
5,EL,"ID_Wahana Bersama Abadi, PT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1822.691,1822.691,1822.691,1822.691,1822.691,1822.691,1822.691,1822.691,1822.691,1822.691,1822.691,1822.691,1822.691,1822.691,1822.691,1822.691,1797.1897,1797.1897,1797.1897,1797.1897,1797.1897,1797.1897,1797.1897,1797.1897,1797.1897,1797.1897,1797.1897,1797.1897,1797.1897,1797.1897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2770.647,2770.647,2770.647,2770.647,2770.647,2770.647,2770.647,2770.647
6,FMCG,"ID_WINIDA LESTARI INTERNATIONAL, PT",4254.0903,4254.0903,4254.0903,4254.0903,4254.0903,4254.0903,4254.0903,4254.0903,4254.0903,4254.0903,4254.0903,4254.0903,4254.0903,4254.0903,4254.0903,4254.0903,4254.0903,4254.0903,4254.0903,4254.0903,4254.0903,4254.0903,4254.0903,4254.0903,4254.0903,4254.0903,4254.0903,140.10992,140.10992,140.10992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.9575,798.9575,798.9575,798.9575,798.9575,798.9575,798.9575,798.9575
7,FMCG,"ID_WINIDA AYU LESTARI, PT",2933.352,2933.352,2933.352,2933.352,2933.352,2933.352,2933.352,2933.352,2933.352,2933.352,2933.352,2933.352,2933.352,2933.352,2933.352,2933.352,2933.352,2933.352,2933.352,2933.352,2933.352,2933.352,2933.352,2933.352,2933.352,2933.352,2933.352,1874.2776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.63588,418.11572,418.11572,418.11572,418.11572,418.11572,418.11572,418.11572
8,EL,"ID_Visimoda Andalan, PT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.901219,6.901219,6.901219,6.901219,6.901219,6.901219,6.901219,6.91862,6.91862,6.91862,6.91862,6.91862,6.91862,6.91862,6.91862,6.91862
9,FMCG,"ID_Unza Vitalis, PT",114097.305,114175.48,114175.48,112671.81,112671.81,112671.81,115794.164,115794.164,115794.164,115794.164,115794.164,115794.164,115794.164,115518.65,115518.65,105904.305,105891.414,105891.414,115660.64,115660.64,115660.64,133240.9,152109.5,167460.77,147197.86,122851.55,120492.414,91516.38,71334.164,71096.19,70390.54,69328.63,69328.63,70549.734,70549.734,70549.734,67471.07,67471.07,67471.07,67471.07,67471.07,67471.07,67471.07,67471.07,85929.51,85929.51,85929.51,126811.71,117179.17,117242.72,117242.72,99908.42,81303.82,127878.84,136466.78,136548.25,151660.94,151660.94,151660.94,151660.94,151660.94,152043.34,170439.78,173304.0,173458.47,173458.47,173458.47,173458.47,173458.47,173458.47
10,FMCG,"ID_United Harvest Indonesia, PT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Lifestyle,"ID_Unitama Sari Mas, PT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541.5231,541.5231,541.5231,541.5231,541.5231,541.5231,541.5231,542.88855,542.88855,542.88855,542.88855,542.88855,542.88855,542.88855,542.88855,542.88855
12,FMCG,"ID_Unirama Duta Niaga, PT",20609.35,20609.35,20609.35,14477.634,14477.634,14477.634,14477.634,14477.634,14477.634,14477.634,14477.634,14477.634,44239.684,35934.25,35934.25,38018.953,38018.953,31950.027,31852.72,31852.72,31852.72,31852.72,31852.72,31852.72,31852.72,31852.72,38088.754,38088.754,38088.754,38082.79,38082.79,37549.973,37984.902,42936.297,42936.297,42936.297,42936.297,42936.297,42936.297,42936.297,42936.297,42936.297,13590.647,14554.688,14554.688,12499.153,12499.153,12499.153,12499.153,12499.153,12499.153,12499.153,12499.153,12499.153,20013.25,21441.943,15552.733,15552.733,15552.733,15552.733,15552.733,15591.949,15155.924,10192.042,10192.042,10192.042,10192.042,94406.16,94406.16,94406.16
13,FMCG,"ID_Unilever Indonesia, PT",444352.66,433968.56,435005.78,434991.47,421822.75,422295.7,403801.25,403517.62,392986.6,393714.56,359257.1,343096.88,352257.38,330498.84,339368.0,397848.5,381844.6,430705.0,479835.6,486499.03,459116.7,452732.28,450688.62,404776.1,401587.7,402998.62,434259.94,468292.6,493771.78,532295.5,616946.8,675365.1,839766.56,860262.0,867007.0,883095.1,893157.6,948074.8,948074.8,947175.8,947175.8,947175.8,938143.44,941035.7,900480.8,842040.56,838132.94,790111.94,920981.1,939579.06,1020599.75,1085161.4,1083116.2,1160237.1,1270991.8,1368677.4,1361044.1,1333204.0,1323918.6,1392546.6,1309383.1,1280678.9,1217571.5,1264305.2,1326442.5,1315735.6,1305410.5,1298438.4,1410372.1,1503930.1
14,FMCG,"ID_Unilever Enterprises Indonesia, PT",14975.458,14975.458,14975.458,10926.688,10926.688,10926.688,10926.688,10926.688,10926.688,10926.688,10926.688,10926.688,10926.688,15037.464,15037.464,15037.464,15037.464,15037.464,15037.464,15037.464,15037.464,15037.464,15037.464,15037.464,4810.6895,4334.7485,4334.7485,4110.775,5012.73,5012.73,5012.73,4942.5967,4942.5967,6955.5024,6955.5024,6955.5024,6955.5024,6955.5024,6955.5024,6955.5024,6955.5024,6955.5024,6955.5024,2902.2417,2902.2417,2902.2417,2902.2417,3492.9858,3492.9858,3492.9858,13766.125,13766.125,13766.125,13766.125,13766.125,13766.125,13766.125,13766.125,12876.788,12876.788,12876.788,12909.257,12909.257,10891.276,10891.276,10891.276,10891.276,10891.276,10891.276,10891.276
15,FMCG,"ID_Unigemilang Sentosa, PT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,FMCG,"ID_Uni Indo Utama, PT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1604.4021,1604.4021,1604.4021,1604.4021,1608.4475,1608.4475,1608.4475,1608.4475,1608.4475,1608.4475,1608.4475,1608.4475,1608.4475
17,FMCG,"ID_Ultra Prima Abadi, PT",480.28418,480.28418,480.28418,480.28418,480.28418,480.28418,61.125744,61.125744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.04623,257.97986,257.97986,257.97986,257.97986,257.97986,257.97986,257.97986,257.97986,257.97986,257.97986,257.97986,684.2475,779.68665,547.337,552.0015,552.0015,552.0015,552.0015,552.0015,552.0015,552.0015,552.0015,552.0015,552.0015,552.0015,131.69775,26.685349,18.403212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,FMCG,"ID_Tumbakmas Niagasakti, PT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
