,category_cluster,supplier_name,no_skus_WH,inv_count,inventory_value_usd,brand_1,brand_2,brand_3,payment_terms
0,FMCG,"IC_Sabang Merauke Jaya, PT_JNJ_CBD (Outright)",163,6082,11501.687,Johnson's,Listerine,Clean & Clear,Immediately
1,Lifestyle,"IC_Scommerce (Thailand) Co., Ltd. (Outright)",4,14,131.46986,Got7,JYP Entertainment,n.a.,30 NET
2,EL,ID_9.9 Supplier,590,5082,57948.73,Dauky,Logitech,Aukey,Immediately
3,FMCG,"ID_AMAN INDAH MAKMUR, PT",56,3456,7955.2007,Fluffy,Mamamia,n.a.,30 NET
4,EL,"ID_ANUGRAH NIAGATAMA PERKASA, PT",47,273,3756.8076,Sony,Philips,n.a.,30 NET
5,FMCG,"ID_Abadi Niaga Prima, PT",33,647,302.2131,Wong Coco,n.a.,n.a.,30 NET
6,FMCG,"ID_Acommerce Jaya Abadi, PT",164,7268,91889.69,SGM,Nutrilon,Nutribaby,21 NET
7,EL,"ID_Aditya Sarana Graha, PT",3,1,17.419516,Kirin,n.a.,n.a.,30 NET
8,EL,"ID_Aditya Sriwijaya, PT (Outright)",73,37210,103693.11,Philips,Broco,n.a.,30 NET
9,EL,"ID_Agres Info Tekhnologi,PT",26,65,4630.3667,HP,Hewlett-Packard,Asus,21 NET
10,FMCG,"ID_Ajinomoto Sales Indonesia, PT",53,0,0.0,Sajiku,Saori,Ajinomoto,14 NET
11,FMCG,"ID_Akasha Wira International, PT",8,1,2.60729,Pure Life,n.a.,n.a.,30 NET
12,EL,"ID_Alta Nikindo, PT",5,0,0.0,Nikon,n.a.,n.a.,30 NET
13,FMCG,"ID_Anggana Catur Prima, PT",95,5075,1788.4401,Koepoe-Koepoe,Dua Belibis,Koepoe Koepoe,30 NET
14,FMCG,"ID_Anugerah Pharmindo Lestari, PT",11,93,768.036,Jointfit,Mederma,Prive Uri-Cran,30 NET
15,FMCG,ID_Anugrah Argon Medika,24,452,10748.769,Friso,Frisolac,Frisomum Gold,21 NET
16,FMCG,"ID_Arira Pangindo, CV",16,609,361.0068,Kusuka,n.a.,n.a.,14 NET
17,FMCG,"ID_Armasco Prima, PT",117,0,0.0,Gullon,Osterberg,Jamie Oliver,30 NET
18,FMCG,"ID_Arum Nirwana Global, PT",14,319,590.03357,Tong Garden,Laverland,Manjun,30 NET
19,EL,"ID_Asean Teknologi Macindo, PT",6,6,442.98306,LG,Sony,n.a.,Immediately
20,FMCG,"ID_Asia Paramita Indah, PT",226,2338,7254.3184,Pixy,n.a.,n.a.,30 NET
21,FMCG,"ID_Asiasejahtera Perdana Pharmaceutical, PT",11,278,189.45975,You C1000,Yorkshire,n.a.,30 NET
