,category_cluster,supplier_name,2019-08-01,2019-08-02,2019-08-03,2019-08-04,2019-08-05,2019-08-06,2019-08-07,2019-08-08,2019-08-09,2019-08-10,2019-08-11,2019-08-12,2019-08-13,2019-08-14,2019-08-15,2019-08-16,2019-08-17,2019-08-18,2019-08-19,2019-08-20,2019-08-21,2019-08-22,2019-08-23,2019-08-24,2019-08-25,2019-08-26,2019-08-27,2019-08-28,2019-08-29,2019-08-30,2019-08-31,2019-09-01,2019-09-02,2019-09-03,2019-09-04,2019-09-05,2019-09-06,2019-09-07,2019-09-08,2019-09-09,2019-09-10,2019-09-11,2019-09-12,2019-09-13,2019-09-14,2019-09-15,2019-09-16,2019-09-17,2019-09-18,2019-09-19,2019-09-20,2019-09-21,2019-09-22,2019-09-23,2019-09-24,2019-09-25,2019-09-26,2019-09-27,2019-09-28,2019-09-29,2019-09-30,2019-10-01,2019-10-02,2019-10-03,2019-10-04,2019-10-05,2019-10-06,2019-10-07,2019-10-08,2019-10-09
0,FMCG,MY_Yee Lee Trading Co Sdn Bhd,88.239784,39.719948,0.0,26.47998,35.306625,26.479965,44.133278,-8.826653,0.0,0.0,0.0,8.826653,0.0,8.82666,0.0,8.82666,8.826653,0.0,26.479973,8.826653,8.826656,35.306625,0.0,17.653313,0.0,8.82666,0.0,0.0,8.82666,61.78662,8.826538,28.404312,0.0,25.888306,25.888184,4.314705,43.146973,17.25879,8.629395,25.888184,43.147095,60.40576,17.258797,17.25879,8.629395,25.888184,17.258911,17.258911,25.888184,17.25879,0.0,17.25879,25.888184,34.51764,34.51758,25.888184,8.629395,0.0,0.0,17.25879,0.0,-1830.1768,26.057007,34.742798,8.685696,0.0,8.685696,26.438965,0.0,70.63086
1,FMCG,MY_WSC Worldwide,120.1777,209.31064,234.95872,110.8837,179.47707,242.5535,209.2257,166.82384,114.83868,179.10353,117.724304,87.7767,214.39801,105.95626,55.39455,164.6802,104.518265,207.63013,79.40354,165.88777,91.92574,54.17724,135.05026,122.48438,139.57268,116.310524,28.233246,83.8774,92.37688,123.68715,134.97263,254.61765,78.02515,147.36853,53.94083,136.5151,153.85944,134.41025,202.9852,994.6266,537.58105,657.95654,570.99146,46.20529,44.51499,243.98451,104.41346,65.38187,144.8958,228.19086,68.49951,168.25908,94.22415,54.825153,127.50412,94.5157,104.40148,253.55046,179.65076,161.8201,246.71318,183.93683,213.19106,345.96494,204.79427,66.975204,196.92421,233.62628,204.2165,343.45715
2,EL,MY_Vivo Technologies Sdn Bhd,465.55823,128.03516,256.06995,128.0351,384.10516,0.0,384.10468,128.035,256.0702,384.10498,384.10535,128.03467,0.0,128.03516,0.0,256.06982,0.0,128.03516,256.06982,128.03516,256.0703,256.06982,128.03516,128.03467,0.0,0.0,128.03516,128.03516,0.0,0.0,0.0,94.4209,0.0,125.173584,125.17383,250.34741,250.34766,625.8689,625.8689,876.2163,375.52136,125.17377,125.17377,0.0,0.0,0.0,125.1738,0.0,0.0,125.17377,125.17378,142.24219,0.0,125.173775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-92.67788,0.0,0.0,0.0,0.0,0.0,286.34082,0.0,125.990326
3,FMCG,MY_Vinda Marketing Sdn Bhd,13441.471,10371.763,8899.735,7680.2305,12417.411,28447.932,23498.814,7987.5254,8006.7246,4641.0205,3607.2822,4423.9385,7618.435,5607.3105,5759.8403,6052.022,5649.003,7532.491,11934.627,10578.041,12721.884,16147.96,18156.625,14774.132,14543.246,19870.768,18323.502,16737.791,25536.723,24251.867,11721.192,15801.824,12099.838,13557.656,12513.128,13472.081,10923.05,9469.537,7110.7725,31396.902,22651.084,16222.811,13878.368,4207.007,3096.3655,3387.003,4988.842,6625.4375,7530.0083,7074.5693,5996.5967,4889.8716,5166.79,14721.603,20129.088,19408.24,18043.203,13462.005,11835.2295,7478.865,9720.948,8643.547,13210.7,15243.295,10756.256,18387.45,24218.408,8492.291,6807.957,8772.805
4,FMCG,MY_Unilever (M) Holdings Sdn Bhd,514.3847,361.15823,597.475,827.7513,1106.4749,2019.9563,3202.6013,1403.6045,2604.671,1340.6796,1172.7594,5089.414,12581.685,28879.502,36650.906,46523.855,23420.873,22981.098,22137.77,4293.4604,1758.0492,1788.0933,1685.9302,1862.0642,2537.4941,2887.9187,2870.0752,2893.0837,2680.7017,4570.07,4332.02,7085.9785,6044.914,5959.17,2310.5393,6680.991,5794.882,2777.3672,3804.227,15648.714,10355.138,13432.517,4078.2397,917.5737,843.41736,584.11334,1121.9719,1141.6039,1759.9597,1236.6361,1794.7528,1687.9567,2508.2644,3154.572,1223.7151,1804.9988,2833.8801,3506.6736,6265.2607,5603.646,19849.791,22815.973,11490.719,3379.6743,4357.909,2748.0098,3630.2378,4354.298,13797.72,12530.475
5,EL,MY_Trio Kaden (M) Sdn Bhd,46.511795,24.976517,83.65924,14.0644455,108.878235,58.19783,75.17206,60.62262,86.08414,197.38733,249.76538,85.114204,173.13826,82.68939,21.824142,35.16114,0.0,67.89733,59.895157,111.06059,116.39545,137.73459,221.63635,141.857,150.10158,122.94275,177.01805,246.37042,164.89355,502.198,148.6467,632.2014,78.23363,185.38994,150.54042,101.94078,566.3639,146.51015,0.0,189.89435,98.85877,628.0026,466.0826,133.94539,0.0,32.00464,92.457886,67.091255,126.35915,239.67934,379.31442,177.80357,255.80025,232.09308,155.28183,120.90648,328.5811,277.37366,770.71967,295.62817,213.12732,124.48563,219.28998,371.7669,349.09814,65.61995,244.82208,61.08622,285.62585,289.92096
6,EL,MY_Top One Mobile Global Sdn Bhd,1589.1157,160.04376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.08752,0.0,0.0,160.04376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,FMCG,MY_Tohtonku Sdn Bhd,-14.150953,92.27227,256.8581,275.1955,128.10286,596.84436,338.99683,213.26797,1019.3067,926.19495,149.58508,163.37592,254.1517,326.89398,125.51568,425.17804,83.27602,132.34421,1493.5916,2393.2434,82.40338,561.2905,195.43274,153.0915,178.08746,284.18448,516.71075,457.3639,1221.3838,1019.05194,962.4889,1328.2783,777.45953,857.14624,975.4262,777.38605,732.762,1075.5416,440.03555,511.9134,799.70386,1184.0988,373.24075,44.41538,78.57254,4.45459,118.34612,127.039604,24.674427,124.43416,269.06424,183.39854,80.64464,96.85559,26.808052,45.956318,108.16623,300.35785,163.49161,70.69949,137.31657,46.490124,39.104748,57.137077,55.967873,39.011654,134.49945,174.79726,29.37151,46.592545
8,EL,MY_Thunder Match Technology Sdn Bhd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,EL,MY_Tan Electronics Sdn Bhd,,,,,,,,,122.346176,0.0,0.0,0.0,23.075397,81.56412,0.0,40.782104,73.62972,53.95398,1199.8676,-1062.0356,261.97202,269.4067,149.97057,60.040894,52.208374,117.874756,138.41351,145.49432,156.0185,98.64514,33.09961,1037.3267,177.35309,150.9433,175.78864,675.4644,237.99603,119.744995,300.25122,560.0577,321.37433,726.1972,286.83304,143.68896,394.4634,97.365234,235.55444,339.98444,226.427,232.11682,230.12534,251.39066,217.6792,442.37512,280.2425,325.92603,524.59216,93.21649,167.11177,328.01196,310.70605,59.092712,593.2758,531.49774,244.9891,80.79608,404.45776,289.9209,225.39874,361.6496
10,FMCG,MY_Syarikat Thong Guan Trading Sdn Bhd,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3104095,1.9914017,0.0,0.0,0.0,0.0,0.0,25.546825,1.1379395,12.517387,7.6242294,4.9121246,5.3103943,5.51902,0.0,6.9224777,14.224289,0.0,10.620815,8.477684,7.4155846,12.4415245,20.29332,22.948524,6.4483356,11.208742,8.724222,3.126831,21.781069,1.71805,2.5770702,17.008698,6.490406,6.299516,3.6269913,59.635418
11,FMCG,MY_Super Food Marketing Sdn Bhd,87.282074,96.90162,19.244064,82.00303,66.08352,65.92589,60.111015,23.024485,79.78909,11.702582,34.210564,49.698437,57.817024,24.125385,23.514294,14.648854,2.2090912,135.37036,33.62373,112.55685,20.604425,62.273983,43.582825,60.31468,25.951347,5.017086,14.884071,110.318665,50.750854,42.608032,14.292369,75.31346,126.25723,25.579992,42.303032,48.96238,49.137848,75.4907,39.761635,69.547325,199.87973,177.11374,70.460045,28.010017,18.598248,64.21557,18.017458,34.185707,19.935345,64.898346,11.550112,21.431265,40.74312,11.308332,10.798584,56.743095,49.149628,44.47938,121.39011,77.034035,98.41788,63.66768,128.60327,112.74941,60.317856,59.852554,24.463165,50.083496,65.54119,128.43611
12,EL,MY_Smactec Distribution Sdn Bhd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.55225,0.0,0.0,271.1045,135.55212,0.0,121.00281,0.0,135.55225,0.0,196.7102,0.0,0.0,250.82166,132.52295,250.82172,0.0,0.0,0.0,0.0,0.0,132.52301,0.0,0.0,0.0,265.04596,0.0,0.0,132.52295,0.0,0.0,265.04602,0.0,0.0,132.52301,0.0,0.0,0.0,118.298706,0.0,-45.177948,0.0,133.38748,0.0,230.9823,238.14075,0.0,254.84402,364.3698
13,FMCG,MY_Signature Snack Sdn Bhd,273.50787,266.8366,141.66306,161.9109,227.9897,201.8248,300.47012,251.99619,208.10533,96.72946,105.28938,196.07782,190.79169,154.49069,81.04038,199.0362,61.641094,183.1289,296.5659,373.55673,280.27057,412.08847,581.1043,313.66156,201.72789,443.17584,316.2561,408.03888,348.77417,348.62863,234.65813,487.81467,299.72946,306.1542,324.8118,339.9605,331.42596,275.71423,205.44617,662.52014,561.71735,1104.3503,319.9043,251.9122,99.11965,152.84001,228.4896,117.84824,124.67583,182.68736,230.71808,130.55531,267.44037,181.09897,220.0261,209.54749,278.27457,455.65155,288.8717,356.84003,437.04144,174.10963,406.0085,329.98483,315.2861,106.304344,297.7237,457.19205,168.72687,1047.1514
14,EL,MY_Seven Mobile Sdn Bhd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,EL,MY_SNS Network (M) Sdn Bhd,-24.353027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.70264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.73645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,EL,MY_SNF Online,-2.0732422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.382324,68.382324,0.0,6.112671,0.0,66.85416,0.0,0.0,0.0,66.85419,0.0,0.0,0.0,66.85417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43611145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
