,category_cluster,supplier_name,2019-08-01,2019-08-02,2019-08-03,2019-08-04,2019-08-05,2019-08-06,2019-08-07,2019-08-08,2019-08-09,2019-08-10,2019-08-11,2019-08-12,2019-08-13,2019-08-14,2019-08-15,2019-08-16,2019-08-17,2019-08-18,2019-08-19,2019-08-20,2019-08-21,2019-08-22,2019-08-23,2019-08-24,2019-08-25,2019-08-26,2019-08-27,2019-08-28,2019-08-29,2019-08-30,2019-08-31,2019-09-01,2019-09-02,2019-09-03,2019-09-04,2019-09-05,2019-09-06,2019-09-07,2019-09-08,2019-09-09,2019-09-10,2019-09-11,2019-09-12,2019-09-13,2019-09-14,2019-09-15,2019-09-16,2019-09-17,2019-09-18,2019-09-19,2019-09-20,2019-09-21,2019-09-22,2019-09-23,2019-09-24,2019-09-25,2019-09-26,2019-09-27,2019-09-28,2019-09-29,2019-09-30,2019-10-01,2019-10-02,2019-10-03,2019-10-04,2019-10-05,2019-10-06,2019-10-07,2019-10-08,2019-10-09
0,FMCG,MY_Yee Lee Trading Co Sdn Bhd,1654.998,1615.2781,1615.2781,1588.7981,1553.4915,1527.0115,1482.8782,1491.7048,1491.7048,1491.7048,1491.7048,1482.8782,1482.8782,1474.0515,1474.0515,1465.2249,1456.3982,1456.3982,1429.9182,1421.0916,1412.265,1376.9584,1376.9584,1359.305,1359.305,1350.4784,1350.4784,1350.4784,1341.6517,1279.8651,1271.0386,2925.368,2925.368,2899.4797,2873.5916,2869.2769,2826.13,2808.871,2800.2417,2774.3535,2731.2063,2670.8005,2653.5417,2636.283,2627.6536,2601.7654,2584.5066,2567.2476,2541.3594,2524.1006,2524.1006,2506.8418,2480.9536,2446.436,2411.9185,2386.0303,2377.401,2377.401,2377.401,2360.142,2360.142,1446.1685,4961.871,4927.1284,4918.443,4918.443,4909.757,4883.318,4883.318,4812.687
1,FMCG,MY_WSC Worldwide,4589.156,4379.8447,4144.886,4034.0024,3854.5254,3611.972,3402.7463,3235.9224,3121.0837,2941.9802,2824.2559,2736.4792,2522.0813,2416.125,2360.7305,2196.0503,2091.532,1883.9019,1804.4983,1638.6105,1546.6848,1492.5076,1357.4573,1234.9729,2755.0054,2638.695,2610.4617,2526.5842,2434.2075,9398.868,9263.8955,9009.278,8931.253,8783.885,8729.943,8593.429,8439.569,8305.159,8102.1733,7107.547,6569.966,5912.0093,5341.018,5294.8125,5250.298,5006.313,4901.9,4836.518,4691.622,4463.431,4394.9316,4226.6724,4132.448,4077.6233,3950.1191,3855.6035,3751.202,3497.6516,8855.67,8817.127,8570.414,8386.477,8173.2856,7827.321,7622.5264,7555.5513,7358.627,7125.001,6920.784,6577.327
2,EL,MY_Vivo Technologies Sdn Bhd,8706.381,8578.346,8322.275,8194.24,7810.1357,7810.1357,7426.031,7297.9956,7041.926,6657.821,6273.7153,6145.6807,6145.6807,6017.6455,6017.6455,5761.5757,5761.5757,5633.5405,5377.4707,5249.4355,4993.365,4737.2954,4609.2603,4481.2256,4481.2256,4481.2256,4353.1904,4225.1553,4225.1553,4225.1553,4225.1553,4130.7344,4130.7344,4005.5608,3880.387,3630.0396,17603.984,16978.115,16352.246,15476.029,15100.509,14975.335,14850.161,14850.161,14850.161,14850.161,14724.987,14724.987,14724.987,14599.813,14474.64,14332.397,14332.397,14207.224,14207.224,14207.224,14207.224,14207.224,14207.224,14207.224,14207.224,14299.901,14299.901,14299.901,14299.901,14299.901,14299.901,14013.561,14013.561,13887.57
3,FMCG,MY_Vinda Marketing Sdn Bhd,183440.12,202433.16,223773.64,216093.4,203795.52,175347.6,151848.78,143861.25,135847.16,131206.14,127598.85,134013.47,137502.84,172705.3,183808.53,168087.92,190980.03,207494.38,218966.78,269357.2,256635.31,240487.36,222330.73,207556.6,222339.55,235035.47,216711.97,253552.28,228015.55,214994.19,227601.12,221807.84,209708.02,239370.72,227068.6,215473.83,204550.78,195081.23,187970.47,156573.56,133922.48,117699.67,103821.305,99614.3,182364.86,233042.58,228053.73,221428.3,213898.28,207193.36,201760.89,202482.6,280357.53,265645.75,245516.66,227128.77,209085.56,195623.56,183788.33,251665.27,241944.31,233300.77,271043.88,274598.84,264707.62,246320.17,222101.77,290239.72,283431.78,274658.97
4,FMCG,MY_Unilever (M) Holdings Sdn Bhd,84378.68,84156.266,91294.24,98703.19,115331.95,135421.62,149676.8,201640.69,268834.28,293133.56,292799.22,298346.12,318793.0,291636.7,255021.42,208575.89,185155.03,162173.92,140930.73,136637.27,145105.92,148391.16,154280.92,184853.0,194570.34,191682.42,188867.23,188132.25,186164.78,181588.89,177256.86,170170.89,164125.97,158166.8,155901.1,149220.11,144015.66,141238.28,137434.05,121785.34,111430.2,97997.69,93919.445,93001.875,92158.45,91574.34,90452.37,89320.13,87576.664,100246.04,114837.35,147246.23,144737.97,175320.56,185311.86,186757.72,201860.9,222574.88,226246.52,243192.69,223521.17,200605.62,188318.84,183772.22,194710.05,198182.81,198276.06,217542.83,203745.11,191214.62
5,EL,MY_Trio Kaden (M) Sdn Bhd,25172.701,25147.725,25064.066,25050.002,24941.123,24882.926,24807.754,24747.13,24661.047,24463.66,24213.895,24128.78,23955.643,23872.953,23851.129,23815.967,23815.967,23748.07,23688.174,23577.113,23460.719,23322.984,23101.348,22959.49,22809.389,22686.445,22509.428,22263.059,22098.164,21595.967,21447.32,20815.117,20736.885,20551.494,20400.953,20299.014,19732.648,19586.139,19586.139,19396.244,19297.387,18669.383,18203.3,18069.355,18069.355,18037.352,17944.893,17877.8,17751.443,17511.764,17132.45,16954.645,16698.846,16466.752,16311.47,16190.563,18504.145,18226.771,17456.05,17160.424,16947.297,16822.81,16603.52,16231.754,15882.655,15817.035,15572.213,15511.127,15225.501,14935.58
6,EL,MY_Top One Mobile Global Sdn Bhd,640.17505,480.1313,480.1313,480.1313,480.1313,480.1313,480.1313,480.1313,480.1313,480.1313,480.1313,480.1313,480.1313,480.1313,480.1313,160.04376,160.04376,160.04376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,FMCG,MY_Tohtonku Sdn Bhd,39343.64,39246.73,38989.875,38714.68,38586.574,37989.73,37650.734,37437.465,36418.16,35491.965,35342.38,35179.004,34924.85,34597.957,34472.44,34047.266,33963.99,33831.645,32338.053,29944.809,29862.406,29301.115,26507.11,26354.02,26175.932,25891.746,25375.035,24685.348,23463.963,22444.91,21482.422,20154.145,19376.684,18519.54,17544.111,16766.727,16033.964,14958.422,14518.387,14006.474,13206.77,12022.671,11649.43,11246.825,11168.253,11163.799,11045.452,10918.413,10893.738,7899.8306,7630.766,7447.3677,7366.723,6188.5938,6161.7856,6115.8296,6007.663,5707.305,5543.8135,5473.1143,5331.018,5284.5283,4570.616,4513.4795,4457.511,4418.5,4284.0005,4109.203,4079.8315,4033.239
8,EL,MY_Thunder Match Technology Sdn Bhd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,EL,MY_Tan Electronics Sdn Bhd,,,,,,,,,325.45627,325.45627,325.45627,325.45627,302.38086,220.81676,43082.77,43041.984,42968.355,42914.402,41714.535,42776.57,42514.598,42245.19,42095.223,42035.18,41982.973,41865.098,41726.684,41581.188,41425.17,41326.523,41293.426,40256.098,40078.746,39927.8,39752.016,39076.55,38838.555,38718.81,38418.56,37858.5,37537.125,36810.93,36524.094,36380.406,35985.94,35888.58,35653.023,35313.04,35086.613,34854.496,34624.37,34372.98,34155.3,33712.926,33432.684,33106.758,32582.164,32488.947,32321.836,31993.824,31683.117,31624.025,31030.748,30499.252,30254.262,30173.467,29769.008,29479.088,29253.69,28892.04
