,category_cluster,supplier_name,2019-08-01,2019-08-02,2019-08-03,2019-08-04,2019-08-05,2019-08-06,2019-08-07,2019-08-08,2019-08-09,2019-08-10,2019-08-11,2019-08-12,2019-08-13,2019-08-14,2019-08-15,2019-08-16,2019-08-17,2019-08-18,2019-08-19,2019-08-20,2019-08-21,2019-08-22,2019-08-23,2019-08-24,2019-08-25,2019-08-26,2019-08-27,2019-08-28,2019-08-29,2019-08-30,2019-08-31,2019-09-01,2019-09-02,2019-09-03,2019-09-04,2019-09-05,2019-09-06,2019-09-07,2019-09-08,2019-09-09,2019-09-10,2019-09-11,2019-09-12,2019-09-13,2019-09-14,2019-09-15,2019-09-16,2019-09-17,2019-09-18,2019-09-19,2019-09-20,2019-09-21,2019-09-22,2019-09-23,2019-09-24,2019-09-25,2019-09-26,2019-09-27,2019-09-28,2019-09-29,2019-09-30,2019-10-01,2019-10-02,2019-10-03,2019-10-04,2019-10-05,2019-10-06,2019-10-07,2019-10-08,2019-10-09
0,FMCG,MY_Yee Lee Trading Co Sdn Bhd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,FMCG,MY_WSC Worldwide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,EL,MY_Vivo Technologies Sdn Bhd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14224.292,14224.292,14224.292,14224.292,14224.292,14224.292,14224.292,14224.292,14224.292,14224.292,14224.292,14224.292,14224.292,14224.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,FMCG,MY_Vinda Marketing Sdn Bhd,231739.47,261104.25,291344.47,291344.47,291464.0,291464.0,291464.0,274532.22,274532.22,274532.22,274532.22,285370.78,296478.6,337288.34,354151.44,333663.03,352328.53,376375.38,400023.0,460991.44,460991.44,436125.66,394079.66,394079.66,423405.84,455972.53,455972.53,509550.62,392018.75,403249.25,427577.38,399322.16,369757.72,412978.1,413072.22,414971.2,414971.2,414971.2,414971.2,414971.2,414971.2,404374.84,393515.25,353617.47,422978.16,477042.88,449139.6,425630.16,402510.97,343372.1,343885.94,349497.5,432539.22,432549.03,403878.22,373059.66,373059.66,320678.88,320678.88,385055.16,361270.7,353553.53,404507.34,382351.75,383004.4,381042.47,381042.47,457672.72,457672.72,457672.72
4,FMCG,MY_Unilever (M) Holdings Sdn Bhd,47425.66,47564.406,55299.855,63536.55,81236.58,81262.945,98720.72,152075.77,221874.0,247514.0,248343.6,258979.92,278705.28,270573.1,270587.38,268582.75,262656.7,262554.12,261704.14,248928.48,258402.75,263476.1,271051.78,303356.3,315552.6,315215.25,315111.7,317171.9,317885.12,317996.28,317974.9,310733.38,303170.78,295118.16,277824.1,277798.3,261321.1,209144.45,140906.02,115839.01,115019.35,104620.71,72330.25,70645.58,70610.734,70534.15,70534.15,70543.516,69685.43,83591.44,89979.336,119116.22,111709.82,113737.664,112971.695,116222.56,134105.95,156216.73,165456.36,187897.5,188075.77,189302.64,189314.67,189427.33,204677.94,210898.7,214027.92,237648.98,237648.98,237648.98
5,EL,MY_Trio Kaden (M) Sdn Bhd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,EL,MY_Top One Mobile Global Sdn Bhd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,FMCG,MY_Tohtonku Sdn Bhd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,EL,MY_Thunder Match Technology Sdn Bhd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,EL,MY_Tan Electronics Sdn Bhd,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,FMCG,MY_Syarikat Thong Guan Trading Sdn Bhd,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,FMCG,MY_Super Food Marketing Sdn Bhd,3582.4585,3582.4585,3582.4585,3582.4585,3582.4585,3582.4585,3582.4585,3582.4585,3582.4585,3582.4585,3582.4585,3582.4585,825.12744,825.12744,825.12744,825.12744,825.12744,825.12744,825.12744,825.12744,825.12744,825.12744,825.12744,825.12744,825.12744,2839.39,2839.39,2839.39,2839.39,2839.39,2839.39,2775.937,2775.937,2775.937,2775.937,2775.937,2775.937,2775.937,2775.937,1969.249,1969.249,1969.249,1969.249,1969.249,1969.249,1969.249,1969.249,1969.249,1969.249,1969.249,1969.249,1969.249,1969.249,1969.249,1969.249,1969.249,2565.133,2565.133,2704.3035,2704.3035,2704.3035,2721.9446,4835.194,4835.194,4835.194,4835.194,4835.194,4835.194,4835.194,4835.194
12,EL,MY_Smactec Distribution Sdn Bhd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,FMCG,MY_Signature Snack Sdn Bhd,6685.828,6685.828,10220.855,7697.0137,7697.0137,7697.0137,7697.0137,7697.0137,7697.0137,7697.0137,7697.0137,7697.0137,7697.0137,7697.0137,11058.83,7648.079,6896.8438,6896.8438,6896.8438,6896.8438,6896.8438,6896.8438,6896.8438,6896.8438,6896.8438,9901.423,12024.791,12031.532,12031.532,12031.532,12031.532,11762.66,8306.631,8306.631,8306.631,9159.496,10662.529,10662.529,10662.529,10662.529,10662.529,10662.529,10662.529,10662.529,7375.841,7375.841,7375.841,7375.841,11626.842,11626.842,11626.842,11626.842,11626.842,11626.842,11626.842,13599.301,11523.384,11516.793,11516.793,11516.793,11516.793,11591.921,11591.921,11591.921,11591.921,10733.492,11683.192,11683.192,11683.192,11683.192
14,EL,MY_Seven Mobile Sdn Bhd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,EL,MY_SNS Network (M) Sdn Bhd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,EL,MY_SNF Online,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,FMCG,MY_S L Ng Trading Agency Sdn Bhd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,FMCG,MY_Rurutiki Sdn Bhd,353838.62,373126.47,347464.84,323191.6,297079.84,336442.75,336775.06,376675.38,378672.72,335429.22,304287.25,325029.06,331996.75,492745.78,498027.56,554617.8,550339.8,547077.75,543570.3,533692.1,560981.8,539947.7,562180.44,630223.7,636811.56,635337.3,784394.94,788428.56,831289.06,860213.2,863963.0,826473.5,826414.3,846957.6,876165.25,909443.06,933183.75,893912.1,867365.2,865209.56,864188.1,841380.1,834568.1,676777.94,668342.44,597243.0,596319.25,588285.0,575622.7,572275.44,558597.4,570256.3,556404.25,483952.22,468810.47,473242.06,352586.53,360114.4,311593.6,283897.12,279581.06,281549.84,281549.84,272673.38,247750.22,193556.6,191961.39,204245.02,204245.02,204245.02
19,FMCG,MY_Reckitt Benckiser (M) Sdn Bhd,38349.164,36983.613,36983.613,36983.613,51287.71,56214.99,70894.945,74533.26,74533.26,74533.26,74533.26,74533.26,74533.26,72910.33,72790.73,72790.73,73915.95,73915.95,73915.95,73915.95,74543.76,76415.9,78275.69,79182.805,79182.805,79182.805,79223.016,78639.234,77745.04,77745.04,76804.31,81351.7,80960.35,81099.46,81099.46,85449.195,85488.77,81415.37,80385.17,80385.17,80385.17,79042.42,77568.74,76411.266,73769.05,73769.05,72228.47,70505.65,73647.914,74143.89,75133.14,76281.77,78200.234,77907.16,77907.16,71983.89,71172.805,70341.88,70341.88,71164.95,67329.81,67769.03,67769.03,67769.03,53693.363,48844.773,40091.91,36713.4,36713.4,36713.4
