,category_cluster,supplier_name,no_skus_WH,inv_count,inventory_value_usd,brand_1,brand_2,brand_3,payment_terms
0,Lifestyle,"IC_Scommerce (Thailand) Co., Ltd. (Outright)",1,0,0.0,Jyp Entertainment,n.a.,n.a.,Immediately
1,FMCG,IC_Shopee Singapore Pte Ltd (Outright),32,88,187.16006,YG Entertainment,Moonshot,n.a.,Immediately
2,EL,MY_A&S Distribution Sdn Bhd,3,25,835.16315,A&S,n.a.,n.a.,Immediately
3,FMCG,MY_Amorepacific Malaysia Sdn Bhd,355,4060,73251.664,Laneige,Mamonde,LANEIGE,Immediately
4,EL,MY_Artisans Vertical Sdn Bhd,11,671,39329.504,Panasonic,n.a.,n.a.,Immediately
5,FMCG,MY_Big Pharmacy Healthcare Sdn Bhd,10,0,0.0,21st CENTURY,Diapex,Bio-Oil,30 NET
6,FMCG,MY_Bigboxasia Sdn Bhd,530,2849,6189.4775,McCormick,San Remo,Aik Cheong,Immediately
7,EL,MY_Bintang Maju Commercial Sdn Bhd,10,39,1355.5532,Samsung,n.a.,n.a.,Immediately
8,EL,MY_Black Box Team Enterprise,10,1,226.68713,OPPO,n.a.,n.a.,Immediately
9,EL,MY_Bluelogic Enterprise Sdn Bhd,2,123,807.0062,Logitech,n.a.,n.a.,30 NET
10,EL,MY_Build Technology Supply Sdn Bhd,3,0,0.0,SanDisk,n.a.,n.a.,Immediately
11,FMCG,MY_Chek Hup Sdn Bhd,9,192,635.2728,Chek Hup,n.a.,n.a.,Immediately
12,FMCG,MY_DKSH Malaysia Sdn Bhd,385,5833,177037.86,Nivea,Eucerin,Similac,60 NET
13,FMCG,MY_Danone Dumex Malaysia Sdn Bhd,108,5018,52891.03,Dugro,Dumex,Dumex Dugro,Immediately
14,FMCG,MY_Delfi Marketing Sdn Bhd,96,9817,10843.961,Kellogg's,Pringles,Big Foot,30 NET
15,FMCG,MY_Disposable Soft Goods (Malaysia) Sdn Bhd,223,5893,94791.6,PETPET,Certainty,Babylove,30 NET
16,EL,MY_Ekano Global Sdn Bhd,12,87,4819.1514,Panasonic,KDK,Asus,Immediately
17,EL,MY_Era International Network Sdn Bhd,192,268,0.0,Xiaomi,Amazfit,n.a.,Immediately
18,FMCG,MY_Fonterra Brands (Malaysia) Sdn Bhd,205,4450,89158.6,Fernleaf,Anmum,Anlene,Immediately
19,FMCG,MY_Gdeal Sdn Bhd,229,2798,125391.89,Enfagrow A+,Sustagen,Enfalac A+,30 NET
20,EL,MY_Groupe SEB Malaysia Sdn Bhd,11,0,0.0,Tefal,n.a.,n.a.,Immediately
21,EL,MY_Haier Electrical Appliances (M) Sdn Bhd,2,39,5247.554,Haier,n.a.,n.a.,Immediately
22,FMCG,MY_Healthy Grazing Sdn Bhd,12,376,1296.073,Amazin'graze,Amazin' Graze,n.a.,Immediately
23,FMCG,MY_Hock Lee,8,0,0.0,Dumex Dugro,Dugro,n.a.,Immediately
24,EL,MY_Hot Gadgets Distribution Sdn Bhd,2,0,0.0,JBL,OEM,n.a.,Immediately
25,EL,MY_Hypermarket Direct Purchase,14,0,0.0,Dove,Elianware,SonicGear,Immediately
26,EL,MY_Imperium Properties Sdn Bhd,33,1452,31352.502,Midea,Morgan,n.a.,Immediately
27,FMCG,MY_International Ecommerce Group Sdn Bhd,282,9577,59489.473,Dettol,Durex,Veet,Immediately
28,Fashion,MY_JBS Textile Group A/S,88,139,1239.8617,CR7,n.a.,n.a.,Immediately
29,FMCG,MY_JP Store Dot Com Sdn Bhd (Outright),8,0,0.0,Samyang,n.a.,n.a.,Immediately
