,category_cluster,supplier_name,2019-08-01,2019-08-02,2019-08-03,2019-08-04,2019-08-05,2019-08-06,2019-08-07,2019-08-08,2019-08-09,2019-08-10,2019-08-11,2019-08-12,2019-08-13,2019-08-14,2019-08-15,2019-08-16,2019-08-17,2019-08-18,2019-08-19,2019-08-20,2019-08-21,2019-08-22,2019-08-23,2019-08-24,2019-08-25,2019-08-26,2019-08-27,2019-08-28,2019-08-29,2019-08-30,2019-08-31,2019-09-01,2019-09-02,2019-09-03,2019-09-04,2019-09-05,2019-09-06,2019-09-07,2019-09-08,2019-09-09,2019-09-10,2019-09-11,2019-09-12,2019-09-13,2019-09-14,2019-09-15,2019-09-16,2019-09-17,2019-09-18,2019-09-19,2019-09-20,2019-09-21,2019-09-22,2019-09-23,2019-09-24,2019-09-25,2019-09-26,2019-09-27,2019-09-28,2019-09-29,2019-09-30,2019-10-01,2019-10-02,2019-10-03,2019-10-04,2019-10-05,2019-10-06,2019-10-07,2019-10-08,2019-10-09
0,FMCG,PH_ygofficial.ph_99783129,-5.16634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.736454,0.0,3.2496681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.785515,0.0,0.0,0.0,0.0,0.0,-1407.5134,0.0,0.0
1,FMCG,PH_snailwhiteph (Outright)_48034555,63.820587,62.48101,51.458244,57.246273,57.614346,27.123583,58.122314,42.98726,145.7624,11.575743,23.466614,52.660515,32.243347,17.94217,35.621094,33.0773,85.65863,43.80258,36.77844,93.89337,19.546783,4.7617188,33.83194,59.561035,40.487915,90.11249,52.95764,13.943237,69.03177,539.39825,379.4908,304.81027,115.90448,135.95459,532.2986,250.4917,139.81816,30.715454,200.49649,2925.9097,2462.407,181.53198,16.186111,65.37106,60.029457,29.211578,8.332779,39.749107,18.434559,43.49173,69.986,30.62171,6.871292,-26.544231,7.297806,79.097916,28.177425,31.920685,72.68523,19.519928,8.828461,-15.389015,82.095345,32.440384,29.154259,19.149574,64.58031,-123.56585,206.1711,142.3309
2,EL,PH_shopeelifestyle_62655794,165.70264,15.784668,0.0,0.0,15.784668,0.00043582916,15.784668,363.04834,0.0,15.784668,0.0,0.0,0.0,157.84717,126.27778,15.784668,0.0,0.0,205.20166,220.98584,189.41699,220.98584,189.41675,220.98608,1010.2219,220.98608,252.55566,252.55542,220.98608,236.77087,189.41663,-550.4584,261.51794,184.60097,184.60095,169.21753,30.766724,46.15027,-30.766846,15.383423,-30.766846,0.0,0.0,0.0,0.0,0.0,415.35217,0.0,46.150208,-15.383423,0.0,153.83414,0.0,15.383423,15.383392,138.45071,30.766815,0.0,0.0,0.0,30.76683,76.00473,0.0,0.0,0.0,0.0,0.0,-30.969574,-247.75652,0.0
3,EL,PH_hpofficialstore_ph_67422291,-151.53809,333.96387,27.830566,0.0,83.49072,55.660862,55.660645,83.4917,166.98242,27.830078,27.830566,111.32129,27.830566,27.830078,166.98242,111.32129,55.660645,83.49121,27.830082,139.15137,413.5044,55.660645,500.9463,719.6382,914.4509,139.15161,1439.2766,524.82544,500.9464,524.82605,83.49097,852.61304,1263.2263,2820.9536,1348.4453,1774.703,1398.844,511.48593,135.61398,457.23703,-1263.2202,0.0,27.122787,-294.50357,27.122791,27.122793,-27.122793,0.0,0.0,-724.6145,348.74585,0.0,0.0,0.0,-27.122791,0.0,81.36838,0.0,0.0,0.0,0.0,-30.436646,0.0,-3783.4546,0.0,0.0,405.65027,-2270.0728,-2433.902,0.0
4,FMCG,PH_hotwheelsphstore_56026912,-11.73703,0.0,0.0,7.015381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.538635,14.030777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.046165,35.077393,0.0,0.0,0.0,42.430107,0.0,23.92974,0.0,6.8370285,0.0,-6.8370285,11.452033,0.0,47.859604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.92764,0.0,0.0,17.092773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.930218,0.0,0.0,0.0,0.0,0.0,-2615.1838,0.0,0.0
5,FMCG,PH_barbiephstore_57659858,-0.11672211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44590187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11263275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,EL,PH_aceofficialstore (Outright)_58672877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,EL,PH_Xiaomi Official Store_53874302,-940.97076,441.64233,227.65234,113.82422,374.63745,4535.921,2879.8474,3311.575,8959.877,2164.9531,1515.7609,1413.5087,1451.6191,1428.7698,2778.7869,578.687,1747.2864,1392.4312,1436.5916,727.77563,431.05035,353.55908,1371.3062,2555.1821,556.031,14516.609,837.66895,170.18683,3322.9985,2128.025,1738.2078,4243.479,3968.2432,18231.047,2175.2468,6122.1187,2786.8853,1456.4922,2596.5896,5662.4097,5839.842,2883.598,-751.08435,1429.6295,895.7211,4052.9336,1466.8204,-308.06064,713.7025,-345.33643,901.7567,1453.7058,784.25244,-1888.6893,-1100.8511,1126.4673,510.77283,-430.41476,1209.4575,505.76978,181.29306,-288.6127,136.88583,605.25684,-447.679,429.3943,571.5542,9.703613,-36243.64,414.00772
8,Lifestyle,PH_Shop 'n Pack_143149274,-21.762411,201.89449,4.139225,-115.79049,2.0696125,0.0,-71.86246,19.064568,54.40453,0.0,14.20639,22.896534,0.0,7.0153885,0.0,16.828167,9.1552734e-05,10.347839,0.0,17.889296,3.8585281,1.0348072,16.135553,3.8585205,0.0,0.0,36.629353,0.0,0.0,20.747978,12.539656,58.873135,29.826874,24.579327,18.80194,28.202888,0.0,0.0,23.929981,0.0,28.886688,29.160461,38.97151,0.0,0.0,3.7604218,0.0,0.0,1.0084972,1.0084972,3.7604218,2.0169945,0.0,0.0,0.0,1.0084972,0.0,0.0,0.0,0.0,0.0,-10.8687935,1.0151427,0.0,3.785202,3.785202,3.785204,4.8003445,13.936434,0.0
9,EL,PH_Realme Official Store_119485441,-166.06822,0.0,0.0,0.0,485.47607,0.0,121.36914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.39746,585.29785,-145.18823,0.0,877.94727,0.0,682.84863,0.0,1170.5958,0.0,877.94775,0.0,682.84814,573.9002,688.7012,3042.228,1045.7659,95.06964,0.0,-95.06964,0.0,0.0,-380.27844,-3.8146973e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,855.6266,0.0,0.0,0.0,0.0,0.0,-236.56564,0.0,0.0,0.0,-190.13922,-85.090355,0.0,0.0,357.18787,0.0,0.0,-238.12564,-563.32104,0.0
