,category_cluster,supplier_name,2019-08-01,2019-08-02,2019-08-03,2019-08-04,2019-08-05,2019-08-06,2019-08-07,2019-08-08,2019-08-09,2019-08-10,2019-08-11,2019-08-12,2019-08-13,2019-08-14,2019-08-15,2019-08-16,2019-08-17,2019-08-18,2019-08-19,2019-08-20,2019-08-21,2019-08-22,2019-08-23,2019-08-24,2019-08-25,2019-08-26,2019-08-27,2019-08-28,2019-08-29,2019-08-30,2019-08-31,2019-09-01,2019-09-02,2019-09-03,2019-09-04,2019-09-05,2019-09-06,2019-09-07,2019-09-08,2019-09-09,2019-09-10,2019-09-11,2019-09-12,2019-09-13,2019-09-14,2019-09-15,2019-09-16,2019-09-17,2019-09-18,2019-09-19,2019-09-20,2019-09-21,2019-09-22,2019-09-23,2019-09-24,2019-09-25,2019-09-26,2019-09-27,2019-09-28,2019-09-29,2019-09-30,2019-10-01,2019-10-02,2019-10-03,2019-10-04,2019-10-05,2019-10-06,2019-10-07,2019-10-08,2019-10-09
0,FMCG,PH_ygofficial.ph_99783129,776.2964,776.2964,776.2964,776.2964,776.2964,776.2964,776.2964,776.2964,776.2964,776.2964,776.2964,776.2964,776.2964,776.2964,776.2964,776.2964,776.2964,776.2964,776.2964,776.2964,776.2964,776.2964,776.2964,776.2964,776.2964,776.2964,776.2964,776.2964,776.2964,776.2964,776.2964,756.55994,756.55994,726.23,726.23,726.23,726.23,726.23,726.23,726.23,726.23,726.23,726.23,726.23,726.23,726.23,726.23,726.23,726.23,726.23,726.23,726.23,726.23,726.23,726.23,726.23,726.23,726.23,726.23,726.23,726.23,731.0155,731.0155,731.0155,731.0155,731.0155,731.0155,27.258741,27.258741,27.258741
1,FMCG,PH_snailwhiteph (Outright)_48034555,5033.468,4970.987,4919.529,4862.282,4804.668,4777.5444,4719.4224,4676.435,4530.6724,4519.0967,4495.63,4442.9697,4410.726,4392.784,4357.163,4324.086,4238.4272,4194.6245,4157.846,4063.9526,4044.406,4039.6443,4005.8123,10193.208,10152.721,10062.608,10009.65,9995.707,9926.675,9387.277,9007.786,8702.976,8587.071,8451.117,7918.8184,7668.3267,8697.035,8666.319,8465.823,5477.1416,3014.7346,2833.2026,2817.0166,2751.6455,2691.6162,2662.4045,2654.0718,2614.3228,2595.8882,2552.3962,2482.4104,2451.7886,2444.9172,2471.4617,2464.1638,2385.066,2356.8884,9061.774,8989.089,8969.569,8960.741,8976.13,8894.034,8861.594,8832.439,8813.29,8748.71,8531.602,8325.431,8183.0996
2,EL,PH_shopeelifestyle_62655794,5729.8535,5714.069,5714.069,5714.069,5698.284,5682.499,5666.7144,5303.666,5303.666,5287.8813,5287.8813,5287.8813,5287.8813,5130.034,4987.9717,4972.187,4972.187,4972.187,4766.9854,4545.9995,4356.5825,4135.5967,3946.18,3725.1938,2714.972,2493.9858,2241.4302,1988.8748,1767.8887,1531.1178,1341.7012,1892.1595,1630.6416,1430.6572,1246.0563,1076.8387,1046.072,999.92175,1030.6886,1015.3052,1046.072,1046.072,1046.072,1046.072,1046.072,1046.072,630.71985,630.71985,584.56964,599.95306,599.95306,446.11893,446.11893,430.7355,415.3521,276.9014,246.13458,246.13458,246.13458,246.13458,215.36775,139.36302,139.36302,139.36302,139.36302,139.36302,139.36302,170.3326,46.45434,46.45434
3,EL,PH_hpofficialstore_ph_67422291,22770.273,22436.309,22408.479,22408.479,22324.988,22241.496,22185.836,21688.84,21521.857,21494.027,21466.197,21354.875,21327.045,21299.215,21132.232,21020.91,20965.25,20881.76,20440.426,20301.273,19887.77,19832.11,19331.162,18611.523,17697.072,17557.922,16118.645,15593.819,15092.873,14568.047,14484.556,13631.943,12368.717,9547.763,8199.317,6424.6147,5025.7705,4514.2847,4378.671,3921.4336,5184.654,4057.0476,4029.9248,4324.428,4297.3057,4270.1826,4297.3057,4297.3057,4297.3057,5021.92,4673.1743,4673.1743,4673.1743,4673.1743,4700.297,4700.297,4618.9287,4618.9287,4618.9287,4618.9287,4618.9287,4649.365,4649.365,4649.365,4649.365,4649.365,4243.715,3108.6785,1891.7275,1891.7275
4,FMCG,PH_hotwheelsphstore_56026912,1763.6158,1763.6158,1763.6158,1756.6005,1756.6005,1756.6005,1756.6005,1756.6005,1756.6005,1756.6005,1756.6005,1756.6005,1756.6005,1756.6005,1756.6005,1756.6005,1756.6005,1739.0619,1725.0311,1725.0311,1725.0311,1725.0311,1725.0311,1725.0311,1725.0311,1725.0311,1703.9849,1668.9075,1668.9075,1668.9075,1668.9075,1626.4774,1626.4774,1602.5477,1602.5477,1595.7107,1595.7107,1602.5477,1591.0956,1591.0956,1543.2361,1543.2361,1543.2361,1543.2361,1543.2361,1543.2361,1543.2361,1543.2361,1543.2361,1372.3083,1372.3083,1372.3083,1355.2156,1355.2156,1355.2156,1355.2156,1355.2156,1355.2156,1355.2156,1355.2156,1355.2156,1364.1459,1364.1459,1364.1459,1364.1459,1364.1459,1364.1459,56.553738,56.553738,56.553738
5,FMCG,PH_barbiephstore_57659858,17.538666,17.538666,17.538666,17.538666,17.538666,17.538666,17.538666,17.538666,17.538666,17.538666,17.538666,17.538666,17.538666,17.538666,17.538666,17.538666,17.538666,17.538666,17.538666,17.538666,17.538666,17.538666,17.538666,17.538666,17.538666,17.538666,17.538666,17.538666,17.538666,17.538666,17.538666,17.092764,17.092764,17.092764,17.092764,17.092764,17.092764,17.092764,17.092764,17.092764,17.092764,17.092764,17.092764,17.092764,17.092764,17.092764,17.092764,17.092764,17.092764,17.092764,17.092764,17.092764,17.092764,17.092764,17.092764,17.092764,17.092764,17.092764,17.092764,17.092764,17.092764,17.205397,17.205397,17.205397,17.205397,17.205397,17.205397,17.205397,17.205397,17.205397
6,EL,PH_aceofficialstore (Outright)_58672877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,EL,PH_Xiaomi Official Store_53874302,89727.55,89285.91,89058.25,88944.43,176121.86,171585.94,168706.1,165394.52,156434.64,154269.69,152753.92,151340.42,149888.8,148460.03,145681.23,145102.55,143355.27,141962.83,140526.25,139798.47,139367.42,139013.86,137642.55,135087.38,134531.34,120014.73,119177.06,119006.875,115683.875,113555.85,111817.64,107574.164,103605.92,85374.875,83199.625,77077.51,82473.62,91126.57,88529.984,82867.57,77027.73,74144.13,74895.22,73465.586,72569.87,68516.93,67050.11,67358.17,66644.47,66989.805,66088.05,64634.344,63850.09,64491.652,65592.5,64466.035,63955.26,64385.68,63176.22,62670.45,62181.832,62238.035,62101.152,61495.895,61943.574,61514.18,60942.625,60676.254,41671.55,40922.0
8,Lifestyle,PH_Shop 'n Pack_143149274,4526.558,4324.6636,4320.5244,4436.315,4434.245,4434.245,4506.1074,4487.043,4432.6387,4432.6387,4418.432,4395.5356,4395.5356,4388.52,4388.52,4371.692,2066.2495,2055.9019,2055.9019,2038.0125,2034.1539,2033.1191,2016.9836,2013.1251,2013.1251,2013.1251,1976.4957,1976.4957,1976.4957,1955.7478,1943.2081,1884.335,1854.508,1829.9287,1811.1268,1782.924,1782.924,1782.924,1758.9939,1758.9939,1730.1073,1700.9468,1661.9753,1661.9753,1661.9753,1658.2148,1658.2148,1658.2148,1657.2064,1656.1979,1652.4375,1650.4204,1650.4204,1650.4204,1650.4204,1649.412,1649.412,1649.412,1649.412,1649.412,1649.412,1660.2808,1659.2656,1659.2656,1655.4803,1651.6952,1647.91,1643.1096,1629.1732,1629.1732
9,EL,PH_Realme Official Store_119485441,24953.463,24953.463,24953.463,24953.463,24467.988,24467.988,24346.62,24346.62,24346.62,24346.62,24346.62,24346.62,24346.62,24346.62,24346.62,24346.62,24346.62,24346.62,23566.22,22980.924,23126.111,23126.111,22248.164,20427.63,19744.781,19744.781,20394.723,20394.723,19516.775,19516.775,18833.926,18260.027,17571.326,14529.098,13483.332,13388.262,13388.262,13483.332,13483.332,13483.332,13863.61,13768.54,13768.54,13768.54,13768.54,13768.54,13768.54,13768.54,13768.54,13768.54,12912.914,12912.914,12912.914,12912.914,12912.914,12912.914,12912.913,12912.913,12912.913,12912.913,12912.913,12998.003,12998.003,12998.003,12640.815,12640.815,12640.815,12521.753,12360.357,12360.357
10,EL,PH_OPPO OFFICIAL STORE_24681653,44776.785,42623.57,42623.57,42623.57,43197.78,42894.715,42894.715,42033.395,41586.863,41315.715,41315.715,41044.566,41044.566,41044.566,40508.92,40508.92,39998.547,39759.32,39520.094,39280.867,40716.402,41331.85,40837.438,40598.21,39194.77,37775.37,37328.84,37105.57,36802.504,30072.24,28652.488,27193.49,22017.477,19288.268,18044.771,16474.807,16101.845,15309.085,14252.071,13024.132,13241.722,13241.722,13241.722,13241.722,13241.722,13241.722,8827.017,9106.824,12704.139,12704.139,12704.139,12704.139,12704.139,12704.139,13217.091,13217.091,14034.481,14034.481,14034.481,14034.481,13434.682,13523.209,13523.209,13523.209,13523.209,13523.209,13523.209,12005.526,2450.0579,2450.0579
11,FMCG,PH_NIVEA Philippines_68019230,34985.062,34440.652,34194.555,34134.59,34130.363,34070.555,34239.027,33089.746,32268.898,32182.914,32119.506,32023.984,32242.012,32166.258,32095.717,32070.691,32020.27,31948.846,31954.727,31609.78,31475.035,31389.19,31241.633,31240.799,30953.367,30886.3,30759.379,30635.32,30493.725,30435.846,48037.18,46727.67,46285.29,45230.977,44443.68,44280.668,44001.727,43723.17,41967.586,31224.088,25597.36,24618.16,24353.771,24173.453,23922.326,23614.84,23475.059,23384.799,23277.0,23160.244,22749.105,22774.494,22741.93,22771.145,22925.475,20993.951,20916.152,20818.521,20708.408,20561.479,20584.717,20665.295,20464.143,27032.033,31382.072,31125.93,30904.701,30516.521,23837.193,22901.4
12,FMCG,PH_MamyPoko Official_110543663,49261.97,47420.81,47267.51,48733.3,47662.305,47422.98,46796.99,22710.736,16977.848,16783.137,16735.959,16432.957,16274.116,16263.509,16372.296,28837.047,28713.182,28662.29,28586.332,28345.34,66877.586,59891.37,56791.914,56811.97,56785.2,59585.152,59685.605,59649.37,59535.72,57143.625,56689.92,55104.89,57609.082,48266.08,43654.45,43646.973,43398.14,43291.86,42508.453,37204.105,31937.31,30547.443,30334.895,30336.762,30029.926,28844.076,38905.812,38542.195,38505.348,38011.344,38004.527,37889.61,37666.8,37365.156,37296.207,37054.668,54138.195,27026.695,15809.632,12516.626,11455.294,11117.8125,10786.264,10718.196,10657.374,10552.734,10413.081,30085.748,31112.844,30230.416
13,EL,PH_MamyPoko Official Store_58820652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.022894
