,category_cluster,supplier_name,2019-08-01,2019-08-02,2019-08-03,2019-08-04,2019-08-05,2019-08-06,2019-08-07,2019-08-08,2019-08-09,2019-08-10,2019-08-11,2019-08-12,2019-08-13,2019-08-14,2019-08-15,2019-08-16,2019-08-17,2019-08-18,2019-08-19,2019-08-20,2019-08-21,2019-08-22,2019-08-23,2019-08-24,2019-08-25,2019-08-26,2019-08-27,2019-08-28,2019-08-29,2019-08-30,2019-08-31,2019-09-01,2019-09-02,2019-09-03,2019-09-04,2019-09-05,2019-09-06,2019-09-07,2019-09-08,2019-09-09,2019-09-10,2019-09-11,2019-09-12,2019-09-13,2019-09-14,2019-09-15,2019-09-16,2019-09-17,2019-09-18,2019-09-19,2019-09-20,2019-09-21,2019-09-22,2019-09-23,2019-09-24,2019-09-25,2019-09-26,2019-09-27,2019-09-28,2019-09-29,2019-09-30,2019-10-01,2019-10-02,2019-10-03,2019-10-04,2019-10-05,2019-10-06,2019-10-07,2019-10-08,2019-10-09
0,Others,"TH_Vichit Printing Co.,Ltd.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,154.50206,248.22525,185.76491,197.71497,0.0,-0.21222878,-0.08161926,256.3389
1,EL,"TH_The I Life Co.,Ltd.",159.62968,7.5826416,0.0,15.165283,15.165283,22.747925,0.0,7.5826416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.71536255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.628639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030021667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,FMCG,"TH_Thainamthip Commercial Co., Ltd",644.9159,451.6919,411.90717,61.826492,94.07646,69.63275,534.6435,600.54126,196.35793,103.89921,1531.7073,1873.8868,3274.789,2955.038,1590.5632,1237.1523,529.23004,1614.8956,11580.13,83.12639,99.7375,15.814671,21.532822,29.483833,0.0,6.2052765,1.5058832,44.53392,-18.706676,-36.383617,20.75977,-65.61369,12628.076,48.52436,204.49254,168.87683,619.7459,16.160387,62.565674,76.06177,140.19696,28.056252,28.056236,26.541222,8.101755,2089.3098,-5.86578,0.0,89.79454,0.0,16.878746,0.0,0.0,58.43725,37.50847,24.889069,16.878738,195.40862,90.36006,19.32497,35.85991,100.91647,43.6292,24.979904,16.203127,0.0,59.62205,111.817764,30.358755,49.284588
3,EL,"TH_Thai Samsung Electronics Co., Ltd",59553.035,2455.5974,5501.765,3186.2764,514.7259,371.44067,1354.8402,5177.674,2092.1067,5110.528,5421.342,3396.708,4210.1772,2225.6567,2352.7485,51.76454,306.7583,613.61523,54.06891,1622.3624,87933.08,6709.881,12983.278,2530.111,1157.3232,2470.9133,2740.5781,2382.249,24790.604,2707.3772,4199.8276,986.7336,3082.9968,1715.0725,4784.487,1852.0116,646.4949,0.0,575.90283,17933.049,8894.954,2734.348,4328.153,1328.1536,1765.7471,1931.3215,816.28125,408.14062,3355.701,2961.8604,2405.3523,1528.0785,1696.1675,3346.7537,920.5043,952.8617,1678.2418,5808.2007,5027.151,7007.1562,2335.9355,4956.827,2480.5564,4000.4346,8824.706,743.38586,1424.0176,4065.114,799.5122,252.12704
4,EL,"TH_Thai City Electric Co., Ltd.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,EL,"TH_TN Double K Electronics Co., Ltd.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,EL,"TH_THAI YI MING CO.,LTD.",659.79846,465.2336,490.7102,180.2841,232.0485,602.1916,440.04895,554.3856,661.0958,1812.0902,864.55164,602.54816,670.7672,224.29257,2644.9675,136.01608,1297.6885,138.35316,79.740234,544.42236,1787.3602,158.89629,969.6075,873.8987,895.61145,1491.9606,1031.2379,1194.9382,732.1708,627.6029,477.92276,47.597534,207.95619,746.0159,1454.8741,162.14598,522.68097,244.62283,575.77356,1581.8223,3587.8506,1187.5588,863.36505,613.68,763.64813,525.6849,625.33704,701.3492,722.73517,682.672,515.1388,1189.2583,1688.5602,1388.07,1250.3799,1416.1826,942.9683,1154.7766,879.9514,894.3503,955.40875,2859.1846,1584.8867,1487.2294,1066.6912,947.3861,1436.9807,1832.1489,907.06287,1245.2241
7,EL,TH_Synnex (Thailand) Plc.,144.56845,940.15656,46.896942,92.49509,1487.2869,538.67786,342.62115,618.28796,537.218,97.59018,135.26971,536.8928,309.90677,168.24327,657.7207,42.872803,1425.4285,284.9819,646.71875,468.1867,330.35303,1063.4004,209.16843,628.7714,372.8357,1150.443,1075.2135,732.04114,919.1081,268.39752,472.86072,696.1571,227.18756,647.834,556.08344,780.6588,687.70074,92.63165,179.1247,781.89966,3358.158,725.5909,583.2492,423.61725,404.90833,110.10012,104.41869,472.3657,454.9298,438.70236,212.03725,199.23795,85.252426,1426.5988,226.53436,535.8071,869.07837,325.14117,278.22147,1225.7607,452.5464,498.0549,1093.7583,867.0988,385.5042,851.85095,720.5962,1634.7115,1741.6093,1568.6925
8,FMCG,"TH_Suntory PepsiCo Beverage (Thailand) Co., Ltd.",-5.5345745,10.170557,-3.2000132,6.9760704,-12.587086,21.065144,14.377287,40.583885,19.98771,1.7441406,6.505806,18.289679,397.18704,108.94676,129.19888,674.66235,15.535599,16.121384,25.413048,18.320526,42.0599,43.63102,39.000126,157.74908,32.096085,6.6226196,42.635017,57.892784,29.191738,30.528854,100.46942,51.400597,477.35477,650.8251,151.22563,212.41931,61.540382,254.76953,256.55957,425.61627,551.41833,187.2301,134.18558,32.138935,44.477566,7.018715,16.728203,36.51258,400.3978,364.02237,308.5995,240.05777,218.32597,503.15213,351.97174,576.09485,290.55905,4095.2676,4229.1187,1417.7772,742.36316,817.76996,488.58765,536.27,186.61552,129.61752,419.74954,595.3536,1148.3285,1562.6648
9,EL,"TH_Step Forward Group Co.,Ltd.",30.921703,36.089233,27.207169,9.069046,6.653137,22.328644,0.0,11.164307,122.17258,15.675491,13.306305,20.186584,19.95945,0.0,6.6531525,39.918884,0.0,0.0,0.0,40.600464,6.6531525,6.6531487,0.0,0.0,6.6531487,4.5111084,22.328632,22.555786,31.123764,0.0,0.0,-6.5445747,0.0,-2.154994,0.0,0.0,0.0,27.23114,4.538513,0.0,4.538513,13.615601,0.0,0.0,0.0,4.538513,231.66064,7.0200195,0.0,0.0,4.538513,9.077118,61.48224,158.84839,202.30717,4.5385284,0.0,179.48395,9.077057,18.415283,103.504524,35.431442,0.0,143.17233,23.116547,0.0,186.07507,48.892143,4.5384216,0.0
