,category_cluster,supplier_name,2019-08-01,2019-08-02,2019-08-03,2019-08-04,2019-08-05,2019-08-06,2019-08-07,2019-08-08,2019-08-09,2019-08-10,2019-08-11,2019-08-12,2019-08-13,2019-08-14,2019-08-15,2019-08-16,2019-08-17,2019-08-18,2019-08-19,2019-08-20,2019-08-21,2019-08-22,2019-08-23,2019-08-24,2019-08-25,2019-08-26,2019-08-27,2019-08-28,2019-08-29,2019-08-30,2019-08-31,2019-09-01,2019-09-02,2019-09-03,2019-09-04,2019-09-05,2019-09-06,2019-09-07,2019-09-08,2019-09-09,2019-09-10,2019-09-11,2019-09-12,2019-09-13,2019-09-14,2019-09-15,2019-09-16,2019-09-17,2019-09-18,2019-09-19,2019-09-20,2019-09-21,2019-09-22,2019-09-23,2019-09-24,2019-09-25,2019-09-26,2019-09-27,2019-09-28,2019-09-29,2019-09-30,2019-10-01,2019-10-02,2019-10-03,2019-10-04,2019-10-05,2019-10-06,2019-10-07,2019-10-08,2019-10-09
0,Others,"TH_Vichit Printing Co.,Ltd.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.53192,215.86864,18.153666,18.153666,18.365894,257.26944,0.93053865
1,EL,"TH_The I Life Co.,Ltd.",208.91925,201.33661,201.33661,186.17133,171.00604,148.25812,148.25812,117.92754,117.92754,117.92754,117.92754,117.92754,117.92754,117.92754,117.92754,117.92754,117.92754,117.92754,117.92754,117.92754,117.92754,117.92754,117.92754,117.92754,117.92754,117.92754,117.92754,117.92754,117.92754,117.92754,117.92754,118.64291,118.64291,118.64291,118.64291,118.64291,118.64291,118.64291,118.64291,118.64291,118.64291,118.64291,118.64291,118.64291,118.64291,118.64291,126.271545,126.271545,126.271545,126.271545,126.271545,126.271545,126.271545,126.271545,126.271545,126.271545,126.271545,126.271545,126.271545,126.271545,126.271545,126.26854,126.26854,126.26854,126.26854,126.26854,126.26854,126.26854,126.26854,126.26854
2,FMCG,"TH_Thainamthip Commercial Co., Ltd",43200.555,43515.477,43103.566,43041.742,42947.664,42878.03,42343.387,41705.246,41508.887,41404.99,39873.28,37999.395,34724.605,32573.535,30982.973,29745.82,29216.59,27601.695,16021.564,15938.438,15838.701,15822.886,15801.354,15771.869,15771.869,15765.664,15764.158,15719.624,15738.331,15774.715,15753.955,15819.568,3191.493,5199.3867,4994.894,4826.0176,4206.2715,4190.1113,4127.5454,4051.4836,3911.2866,3883.2305,3855.1743,3828.633,3820.5312,1731.2214,1737.0873,1737.0873,1647.2927,1486.0804,1469.2017,1469.2017,1469.2017,1410.7644,1373.256,1348.367,1331.4882,1136.0796,1045.7195,1026.3945,990.5346,889.6181,845.98895,821.00903,804.8059,804.8059,745.18384,633.3661,603.0073,553.7227
3,EL,"TH_Thai Samsung Electronics Co., Ltd",209418.17,206962.56,201460.8,198274.53,196542.77,196171.33,194816.48,189517.72,187425.61,182315.08,176893.75,173497.03,169286.86,167061.2,164415.75,164363.98,164057.22,163443.61,163389.55,287309.16,199376.1,192666.22,179682.94,177558.5,176401.19,173930.27,170283.38,191131.9,166341.3,163633.92,159434.1,158447.36,155364.36,153649.3,148864.8,147012.8,146366.3,146366.3,145790.39,127857.34,118962.39,117628.78,113300.625,118660.336,116894.586,114963.266,114146.984,113738.84,127271.84,124309.98,121904.625,120376.55,118680.38,115333.625,114194.984,113242.12,111563.875,110310.52,105283.375,98276.22,95940.28,90983.45,88502.9,84502.47,75677.76,74934.375,73510.36,69445.24,68645.73,68393.6
4,EL,"TH_Thai City Electric Co., Ltd.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10040.349,10636.547,11082.422
5,EL,"TH_TN Double K Electronics Co., Ltd.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,EL,"TH_THAI YI MING CO.,LTD.",10567.439,10102.205,9611.495,9431.211,41483.87,40881.68,40430.92,39798.906,39137.81,37315.01,36450.457,35847.91,35177.145,34952.85,32307.883,32171.867,30874.178,30735.824,30656.084,30111.662,39711.57,39552.676,38583.066,37709.168,36813.56,35321.598,34290.36,33095.42,32363.25,31735.646,31257.725,31210.127,31002.17,30256.154,40811.72,40649.57,40126.89,49161.754,48585.98,47004.16,43416.31,42228.75,41365.387,40751.707,39988.06,39462.37,38837.035,38135.688,37412.95,36730.277,36215.14,34995.65,33307.09,31919.018,30668.639,29252.455,34532.816,33378.04,32498.088,31603.738,33590.207,31338.322,29753.436,28266.205,27199.514,26252.129,24815.148,22982.998,21605.867,20360.643
7,EL,TH_Synnex (Thailand) Plc.,21140.533,20200.377,20153.48,20060.984,18573.697,18035.02,26774.66,26156.373,25619.154,25521.564,25386.295,24849.402,24539.494,24371.252,23713.531,23670.658,24317.96,24032.979,23386.26,22918.074,22587.72,21524.32,21315.152,20686.38,20313.545,19163.102,18087.889,17355.848,16436.74,16168.342,15695.481,14999.324,20600.385,19949.025,19392.941,18612.283,17924.582,17831.951,17652.826,16870.926,13505.627,12776.459,12193.21,11764.336,11359.428,11249.327,11144.908,10668.004,10213.074,9774.372,9569.714,9370.476,9285.224,8945.912,8719.377,8183.5703,16221.428,15882.671,15604.449,14378.688,13926.143,13428.088,12334.329,19919.133,19538.527,18686.676,17966.08,20073.766,18332.156,16763.465
8,FMCG,"TH_Suntory PepsiCo Beverage (Thailand) Co., Ltd.",1849.2874,1839.1168,1842.3168,1835.3407,1847.9279,1826.8627,5050.311,5009.727,4989.7397,4987.9956,4981.4897,4963.1997,4542.84,4433.893,4304.6943,3630.0317,3614.496,3598.3748,3572.9617,3554.641,3512.5813,3468.9502,3429.9502,3272.2012,3240.105,3233.4824,3190.8474,3132.9546,3103.763,3073.234,2972.7646,2921.364,6070.6133,5419.788,5268.5625,5056.143,4994.6025,4739.833,4483.2734,4057.6575,3506.239,3319.009,3184.8232,3152.6843,3108.2068,3101.1882,3084.46,3047.9473,2647.5496,34223.473,33914.875,33674.816,33456.49,33678.99,33327.02,32750.924,32460.365,38294.984,34065.867,32648.09,31905.727,31087.957,30599.37,30063.1,29876.484,29746.867,29327.117,33166.71,33331.008,31768.344
9,EL,"TH_Step Forward Group Co.,Ltd.",1570.3312,1534.242,1507.0348,1497.9658,1491.3126,1468.984,1468.984,1457.8197,1335.6471,1319.9716,1306.6653,1286.4788,1266.5193,1266.5193,1259.8661,1219.9473,1219.9473,1219.9473,1219.9473,1179.3468,1172.6936,1166.0405,1166.0405,1166.0405,1159.3873,1154.8762,1132.5476,1109.9918,1078.868,1078.868,1078.868,1085.4126,1085.4126,2067.9216,2067.9216,2067.9216,2067.9216,2040.6904,2036.1519,2036.1519,2031.6134,2017.9978,2017.9978,2017.9978,2017.9978,2013.4592,1781.7986,1774.7786,1774.7786,1774.7786,1770.2401,1761.163,1699.6807,2130.122,1927.815,1923.2765,1923.2765,1743.7925,1734.7155,1716.3002,1612.7957,1577.3643,1577.3643,1434.1919,1411.0753,1411.0753,1225.0002,1176.1082,1171.5697,1171.5697
