,category_cluster,supplier_name,2019-08-01,2019-08-02,2019-08-03,2019-08-04,2019-08-05,2019-08-06,2019-08-07,2019-08-08,2019-08-09,2019-08-10,2019-08-11,2019-08-12,2019-08-13,2019-08-14,2019-08-15,2019-08-16,2019-08-17,2019-08-18,2019-08-19,2019-08-20,2019-08-21,2019-08-22,2019-08-23,2019-08-24,2019-08-25,2019-08-26,2019-08-27,2019-08-28,2019-08-29,2019-08-30,2019-08-31,2019-09-01,2019-09-02,2019-09-03,2019-09-04,2019-09-05,2019-09-06,2019-09-07,2019-09-08,2019-09-09,2019-09-10,2019-09-11,2019-09-12,2019-09-13,2019-09-14,2019-09-15,2019-09-16,2019-09-17,2019-09-18,2019-09-19,2019-09-20,2019-09-21,2019-09-22,2019-09-23,2019-09-24,2019-09-25,2019-09-26,2019-09-27,2019-09-28,2019-09-29,2019-09-30,2019-10-01,2019-10-02,2019-10-03,2019-10-04,2019-10-05,2019-10-06,2019-10-07,2019-10-08,2019-10-09
0,Others,"TH_Vichit Printing Co.,Ltd.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,154.50206,644.2593,804.3609,804.3609,804.3609,804.3609,1043.1829,1043.1829
1,EL,"TH_The I Life Co.,Ltd.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,FMCG,"TH_Thainamthip Commercial Co., Ltd",1685.8785,2452.49,2452.49,2297.3582,2297.3582,2297.3582,2297.3582,2297.3582,2297.3582,2297.3582,1402.2046,1402.2046,1402.2046,2206.1743,2206.1743,2206.1743,2206.1743,2206.1743,2206.1743,2206.1743,2206.1743,2206.1743,2206.1743,1570.5812,1570.5812,1570.5812,1570.5812,1570.5812,1570.5812,1570.5812,1570.5812,808.8467,808.8467,2865.265,2865.265,2865.265,2865.265,2865.265,2865.265,2865.265,2865.265,2865.265,2865.265,2056.4182,2056.4182,2056.4182,2056.4182,2056.4182,2056.4182,1757.6132,1757.6132,1757.6132,1757.6132,1757.6132,1757.6132,1757.6132,1757.6132,1757.6132,1757.6132,1757.6132,1757.6132,1757.5714,1757.5714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,EL,"TH_Thai Samsung Electronics Co., Ltd",173359.75,173359.75,173359.75,173359.75,169302.95,169302.95,169302.95,169302.95,169302.95,169302.95,162974.36,162974.36,162974.36,162974.36,162974.36,162974.36,162974.36,162974.36,162974.36,288516.34,236669.17,232790.88,232790.88,233196.55,138072.62,138072.62,138072.62,161303.4,172409.23,172409.23,172409.23,173455.1,173455.1,173455.1,173455.1,173455.1,173455.1,173455.1,173455.1,173455.1,173455.1,174855.83,174855.83,181951.83,181951.83,181951.83,181951.83,181951.83,198840.53,72536.984,72536.984,72536.984,72536.984,72128.84,72128.84,72128.84,72128.84,53311.99,29940.287,29940.287,29940.287,29939.574,29939.574,29939.574,29939.574,29939.574,29939.574,29939.574,29939.574,29939.574
4,EL,"TH_Thai City Electric Co., Ltd.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10040.349,10636.547,11082.422
5,EL,"TH_TN Double K Electronics Co., Ltd.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,EL,"TH_THAI YI MING CO.,LTD.",26869.47,26869.47,26869.47,24532.754,47669.223,47669.223,47669.223,47669.223,39541.51,39541.51,39541.51,39541.51,39541.51,39541.51,39541.51,39541.51,39541.51,39541.51,39541.51,39541.51,50928.78,50928.78,43671.98,43671.98,43671.98,43671.98,43671.98,43671.98,43671.98,43671.98,43671.98,43936.902,43936.902,43936.902,23466.783,23466.783,23466.783,32746.27,32746.27,32746.27,32746.27,32746.27,32746.27,32746.27,32746.27,32746.27,32746.27,32746.27,32746.27,32746.27,21289.924,21289.924,21289.924,21289.924,21289.924,21289.924,27513.254,27513.254,27513.254,27513.254,30455.133,31061.707,31061.707,31061.707,19051.555,19051.555,19051.555,9772.288,9772.288,9772.288
7,EL,TH_Synnex (Thailand) Plc.,21213.83,21213.83,21213.83,21213.83,21204.84,21204.84,30287.102,29706.826,29706.826,29706.826,29706.826,29706.826,29706.826,29706.826,29706.826,29706.826,31779.559,31779.559,31779.559,31779.559,29637.568,12631.668,12631.668,12631.668,12631.668,12631.668,12631.668,12631.668,12631.668,11154.993,11154.993,11222.661,17050.91,17050.91,17050.91,17050.91,7913.554,7913.554,7913.554,7913.554,7913.554,7913.554,7913.554,7913.554,7913.554,7913.554,5828.249,5828.249,5828.249,5828.249,5835.6284,5835.6284,5835.6284,6922.915,6922.915,6922.915,15829.851,15829.851,15829.851,15829.851,15829.851,15829.475,10001.364,18453.268,18458.164,18458.164,18458.164,22200.562,22200.562,22200.562
8,FMCG,"TH_Suntory PepsiCo Beverage (Thailand) Co., Ltd.",7434.6133,7434.6133,7434.6133,7434.6133,7434.6133,7434.6133,10672.439,10672.439,10672.439,10672.439,3237.8257,3237.8257,3237.8257,3237.8257,3237.8257,3237.8257,3237.8257,3237.8257,3237.8257,3237.8257,3237.8257,3237.8257,3237.8257,3237.8257,3237.8257,3237.8257,3237.8257,3237.8257,3237.8257,3237.8257,3237.8257,3257.4668,6884.071,6884.071,6884.071,6884.071,3626.604,3626.604,3626.604,3626.604,3626.604,3626.604,3626.604,3626.604,3626.604,3626.604,3626.604,3626.604,3626.604,30029.701,30029.701,30029.701,30029.701,30755.354,30755.354,30755.354,30755.354,40685.242,14682.658,14682.658,14682.658,14682.31,11055.792,11055.792,11055.792,11055.792,11055.792,15490.739,16803.365,16803.365
9,EL,"TH_Step Forward Group Co.,Ltd.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.3539,980.3539,980.3539,980.3539,980.3539,980.3539,980.3539,980.3539,980.3539,980.3539,980.3539,980.3539,980.3539,980.3539,980.3539,980.3539,980.3539,980.3539,980.3539,980.3539,1569.6438,1569.6438,1569.6438,1569.6438,1569.6438,1569.6438,1569.6438,1569.6438,1569.6064,1569.6064,1569.6064,1569.6064,1569.6064,1569.6064,1569.6064,1569.6064,1569.6064
