,category_cluster,supplier_name,no_skus_WH,inv_count,inventory_value_usd,brand_1,brand_2,brand_3,payment_terms
0,Others,IC_Shopee Singapore Pte Ltd (Outright),104,1001,27689.14,Moonshot,YG Entertainment(วายจีเอ็นเตอร์เทนเมนต์),No Brand(ไม่มียี่ห้อ),Immediately
1,EL,TH_Acommerce Company Limited,92,0,0.0,ฺBabyLove(เบบี้เลิฟ),Whiskas(วิสกัส),NYX(นิกซ์),15 NET
2,EL,TH_Ash Asia International Ltd.,2,117,34646.95,Marshall(มาร์แชล),Marshall(มาร์แชลล์),n.a.,15 NET
3,EL,"TH_Banana Tree Horse Technology Co., Ltd.",40,1,19.651344,Sony(โซนี่),n.a.,n.a.,7 NET
4,EL,"TH_Bangkok LED Center Co., Ltd.",6,4,2007.8517,Samsung(ซัมซุง),LG(แอลจี),n.a.,7 NET
5,FMCG,TH_Berli Jucker Public Company Limited,141,1,3.6594658,Cellox(เซลล็อกซ์),Testo(เทสโต),Dermapon(เดอร์มาพอน),30 NET
6,FMCG,TH_C. P. Food Store Company Limited,28,12859,127514.55,Khaotrachat(ฉัตร),Kaotrachat(ข้าวตราฉัตร),ข้าวฉัตรอรุณ,30 NET
7,EL,"TH_CHAIMONGKOL ELECTRIC CO.,LTD",26,0,0.0,SHARP(ชาร์ป),Sharp(ชาร์ป),n.a.,30 NET
8,FMCG,"TH_COCOBA(Thailand)Co.,Ltd.",4,88,992.47534,Irvins(เออร์วิน),Irvins(ไอร์วินส์),n.a.,30 NET
9,FMCG,"TH_Chotpattra Distributor Co., Ltd.",4,49,530.50824,Aquafina(อควาฟิน่า),Lipton(ลิปตัน),Mirinda(มิรินด้า),7 NET
10,Others,"TH_Copan Global Co.,Ltd.",56,4684,65694.51,JYP(เจวายพี),Exo(เอ็กโซ),Got7(ก๊อตเซ่เว่น),Immediately
11,FMCG,"TH_DKSH (Thailand) Co.,Ltd.",369,935,74272.1,Gatsby(แกสบี้),Hada Labo(ฮาดะ ลาโบะ),Kitkat(คิทแคท),30 NET
12,FMCG,TH_DKSH(Thailand)Limited (Healt care),7,32,94.265854,Lactacyd(แลคตาซิด),Physiogel(ฟิสิโอเจล),n.a.,30 NET
13,FMCG,TH_DUMEX LIMITED,70,2758,55822.06,Hi-Q(ไฮคิว),Dumex(ดูเม็กซ์),Nutricia(นิวทิเซีย),30 NET
14,FMCG,"TH_Dairy Plus Co.,Ltd.",74,2009,19950.238,DUTCH MILL(ดัชมิลล์),Dna(ดีน่า),Dmalt(ดีมอลล์),30 NET
15,EL,"TH_Fanslink Communication Co.,Ltd.",121,36,1243.1171,Xiaomi(เสี่ยวมี่),Xiaomi (เสี่ยวหมี่),Xiaomi Amazfit(เสี่ยวมี่อมาร์ทฟิต),Immediately
16,Lifestyle,TH_Feilo Sylvania (Thailand) Ltd.,3,542,2906.121,Sylvania(ซิลวาเนีย),n.a.,n.a.,30 NET
