,category_cluster,supplier_name,2019-08-01,2019-08-02,2019-08-03,2019-08-04,2019-08-05,2019-08-06,2019-08-07,2019-08-08,2019-08-09,2019-08-10,2019-08-11,2019-08-12,2019-08-13,2019-08-14,2019-08-15,2019-08-16,2019-08-17,2019-08-18,2019-08-19,2019-08-20,2019-08-21,2019-08-22,2019-08-23,2019-08-24,2019-08-25,2019-08-26,2019-08-27,2019-08-28,2019-08-29,2019-08-30,2019-08-31,2019-09-01,2019-09-02,2019-09-03,2019-09-04,2019-09-05,2019-09-06,2019-09-07,2019-09-08,2019-09-09,2019-09-10,2019-09-11,2019-09-12,2019-09-13,2019-09-14,2019-09-15,2019-09-16,2019-09-17,2019-09-18,2019-09-19,2019-09-20,2019-09-21,2019-09-22,2019-09-23,2019-09-24,2019-09-25,2019-09-26,2019-09-27,2019-09-28,2019-09-29,2019-09-30,2019-10-01,2019-10-02,2019-10-03,2019-10-04,2019-10-05,2019-10-06,2019-10-07,2019-10-08,2019-10-09
0,FMCG,TW_龍記實業有限公司(Outright),463.90942,49.63513,49.635193,124.08783,173.72302,74.45273,99.270294,74.45271,0.0,106.62359,24.817574,0.0,24.817574,32.170868,32.170868,24.817574,0.0,32.170868,32.170868,0.0,0.0,0.0,48.10317,0.0,0.0,0.0,48.10317,0.0,0.0,0.0,0.0,25.557571,31.869003,0.0,95.607056,31.869019,446.17505,42.49223,37.180626,74.36124,10.623215,-3.8146973e-06,0.0,111.54188,63.73803,334.62408,254.95203,132.7877,69.04968,0.0,0.0,0.0,15.934814,95.607056,467.42023,531.16077,31.869652,15.934822,15.934822,10.623215,0.0,-7.1205063,10.736511,10.736515,37.57779,96.62665,26.840607,69.78607,128.83563,64.417786
1,FMCG,TW_龍琦國際股份有限公司(Outright),28.914621,84.545044,169.09009,56.36336,56.36336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.536743e-07,0.0,0.07184267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.080892086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,FMCG,TW_鼎宸開發有限公司(Outright),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Lifestyle,TW_香港商振光玩具有限公司台灣分公司(Outright),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,FMCG,TW_頑時國際貿易有限公司(Outright),96.14269,33.703453,21.447697,18.383705,105.706406,163.92152,88.85464,84.2587,0.0,67.407005,67.40698,70.47093,78.13092,53.61908,47.491333,222.1366,367.6745,38.299316,136.34604,151.66571,68.938934,33.7034,65.875046,26.043655,41.363373,85.790665,485.63666,166.9854,68.93899,73.5349,61.279015,53.433678,19.728882,57.668884,282.274,101.67937,458.31586,42.492847,60.704098,159.3482,130.51381,56.151302,36.42244,30.352066,39.457672,53.11609,44.010483,200.32353,45.52806,71.3273,128.9962,53.116028,45.528107,51.598473,89.53854,30.352081,28.834373,45.52807,33.387238,34.904892,0.0,389.2984,153.3787,131.90573,138.0409,47.54738,104.29759,93.561,84.35831,213.19644
5,FMCG,TW_鑽乾有限公司(Outright),66.47763,63.376587,50.701294,12.675293,12.675293,38.02588,38.026,190.12982,0.0,139.42844,76.05194,190.13,114.078064,50.70117,50.701294,76.05191,76.05191,50.701355,38.02594,38.02594,25.350647,38.02588,25.35083,38.02594,152.10382,25.350586,25.350647,50.701233,126.75342,50.701233,50.701504,141.22688,0.0,0.0,37.66919,0.0,0.0,0.0,37.66917,0.0,12.5563965,0.0,100.45117,12.5563965,0.0,50.225555,0.0,62.78195,163.23291,62.781982,0.0,12.5563965,25.112518,12.5563965,12.5563965,75.33838,75.33838,12.5563965,0.0,0.0,0.0,-39.834778,38.0708,12.690186,25.380585,12.690308,12.690308,50.7612,12.690308,12.69043
6,FMCG,TW_金享潤國際有限公司(Outright),30.774746,0.0,0.0,0.0,0.0,55.210793,55.21274,100.61719,0.0,150.92773,251.54492,201.2373,50.308594,0.0,0.0,50.30957,100.618164,100.618164,100.618164,100.618164,50.30957,0.0,0.0,4.902199,50.308594,100.618164,60.113964,100.618164,0.0,0.0,4.902197,198.47769,49.836914,99.674805,49.836914,49.836914,49.836914,0.0,49.836914,149.51172,353.71558,4.8561997,0.0,0.0,0.0,-149.51172,0.0,104.531006,0.0,199.34766,99.674805,49.836914,0.0,99.67383,0.0,0.0,0.0,0.0,0.0,49.836914,0.0,-102.48839,100.737305,100.737305,0.0,0.0,50.368164,0.0,0.0,100.737305
7,FMCG,TW_遠百企業股份有限公司(Outright),18.313711,24.86808,11.131122,4.6647644,56.781586,52.052475,40.470947,20.364168,0.0,40.631805,9.233039,83.51559,10.35902,1.8337402,11.131118,22.873474,9.426069,0.0,8.267914,23.291706,46.454742,18.04784,26.251434,27.988655,23.709938,10.938095,7.0454216,5.8551006,21.940527,2.4128141,6.562851,25.600275,8.95519,24.921576,10.548631,0.0,20.937939,2.167099,29.82938,2.167099,30.307436,10.8354645,0.0,6.979309,4.3341827,-2.167099,2.167099,2.1670914,39.963757,8.891449,2.1670914,0.0,0.35056305,0.0,8.668369,0.0,2.1670914,9.1464,0.0,2.167099,0.0,7.6089625,8.760822,14.107502,14.107491,0.0,2.4156668,0.0,0.0,2.1902046
8,FMCG,TW_赤商國際股份有限公司(Outright),181.7002,71.83789,61.57422,71.83789,92.362305,51.3125,123.15039,51.3125,0.0,656.8008,554.1748,369.4502,82.100586,194.9873,41.049805,30.788086,92.362305,92.362305,61.575195,41.05078,738.9004,389.9746,266.8252,215.5127,256.5625,164.2002,123.15039,369.4502,287.3506,143.6748,348.9248,222.3877,365.98438,447.3125,467.64648,325.31885,416.81445,71.163574,20.33252,864.1284,691.30225,132.16064,60.99756,50.831055,20.33252,-30.498535,213.49023,81.32959,121.99463,101.66211,172.82568,91.49609,81.32959,233.82275,121.99463,121.99463,111.82837,111.82837,91.49609,40.664795,0.0,144.50195,143.84497,82.19702,205.49268,123.295654,41.098633,82.19702,544.55566,544.5558
9,FMCG,TW_貝比歐國際貿易股份有限公司(Outright),33.38383,0.0,50.33966,24.296722,0.0,0.0,14.951733,0.0,0.0,18.659103,0.0,0.0,24.296722,50.33972,23.163025,201.35873,0.0,0.0,74.63642,0.0,0.0,0.0,0.0,24.29673,0.0,50.339706,0.0,0.0,0.0,0.0,0.0,67.187805,49.867355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.11514,49.867355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.068752,0.0,0.0,0.0,99.734695,0.0,0.0,2806.9,0.0,0.0,0.0,0.0,-15.610245,0.0,50.399185,24.325443,0.0,-100.79837,0.0,125.12381,0.0
10,FMCG,TW_豐旗有限公司(Outright),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
