,category_cluster,supplier_name,2019-08-01,2019-08-02,2019-08-03,2019-08-04,2019-08-05,2019-08-06,2019-08-07,2019-08-08,2019-08-09,2019-08-10,2019-08-11,2019-08-12,2019-08-13,2019-08-14,2019-08-15,2019-08-16,2019-08-17,2019-08-18,2019-08-19,2019-08-20,2019-08-21,2019-08-22,2019-08-23,2019-08-24,2019-08-25,2019-08-26,2019-08-27,2019-08-28,2019-08-29,2019-08-30,2019-08-31,2019-09-01,2019-09-02,2019-09-03,2019-09-04,2019-09-05,2019-09-06,2019-09-07,2019-09-08,2019-09-09,2019-09-10,2019-09-11,2019-09-12,2019-09-13,2019-09-14,2019-09-15,2019-09-16,2019-09-17,2019-09-18,2019-09-19,2019-09-20,2019-09-21,2019-09-22,2019-09-23,2019-09-24,2019-09-25,2019-09-26,2019-09-27,2019-09-28,2019-09-29,2019-09-30,2019-10-01,2019-10-02,2019-10-03,2019-10-04,2019-10-05,2019-10-06,2019-10-07,2019-10-08,2019-10-09
0,FMCG,TW_龍記實業有限公司(Outright),955.0167,905.3816,855.74634,731.65857,557.93555,483.4828,384.2125,309.75977,309.75977,203.1362,178.31862,178.31862,153.50104,121.33018,89.15931,64.341736,64.341736,32.170868,0.0,0.0,0.0,96.20634,48.10317,48.10317,48.10317,48.10317,0.0,0.0,2187.6191,2723.811,2723.811,3973.014,3941.1448,3941.1448,3845.5378,3813.6687,3367.4937,3325.0015,3287.8208,3213.4595,3202.8364,3266.5745,3266.5745,3155.0325,3091.2944,2756.6704,3564.0398,3431.2522,3362.2024,3362.2024,3362.2024,3362.2024,3346.2676,3250.6606,2783.2405,2252.0796,2220.21,2204.2751,2188.3403,2177.717,2177.717,2184.8376,2174.101,2163.3645,2125.7869,2029.1602,2002.3196,1932.5334,4012.326,3947.9082
1,FMCG,TW_龍琦國際股份有限公司(Outright),389.33185,304.7868,135.69672,79.33336,22.970001,22.970001,22.970001,22.970001,22.970001,22.970001,22.970001,22.970001,22.970001,22.970001,22.970001,22.970001,22.970001,22.970001,22.970001,22.970001,22.970001,22.970001,22.970001,22.970001,22.970001,22.970001,22.970001,22.970001,22.970001,7.6566668,7.6566668,7.584824,7.584824,7.584824,7.584824,7.584824,7.584824,7.584824,7.584824,7.584824,7.584824,7.584824,7.584824,7.584824,7.584824,7.584824,7.584824,7.584824,7.584824,7.584824,7.584824,7.584824,7.584824,7.584824,7.584824,7.584824,7.584824,7.584824,7.584824,7.584824,7.584824,7.665716,7.665716,7.665716,7.665716,7.665716,7.665716,7.665716,7.665716,7.665716
2,FMCG,TW_鼎宸開發有限公司(Outright),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Lifestyle,TW_香港商振光玩具有限公司台灣分公司(Outright),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,FMCG,TW_頑時國際貿易有限公司(Outright),1440.0581,1406.3547,1384.907,1366.5233,1260.8169,1096.8954,1008.0407,923.78204,923.78204,856.375,3436.2239,3365.753,3287.622,4116.422,4068.9304,3846.7937,3479.1191,3440.8198,3304.4739,3152.808,3083.8691,3050.1658,2984.2908,2958.247,2916.8838,2831.093,2345.4565,2178.471,2109.532,2035.9972,1974.7181,1921.2844,1901.5555,1843.8867,1561.6127,1459.9333,1001.6175,959.12463,898.42053,739.0723,608.55853,552.4072,515.98474,485.6327,3139.9192,3086.803,3042.7925,2842.469,2796.941,2725.6135,2596.6174,2543.5015,2497.9734,2446.3748,2356.8362,2326.4841,2297.65,2252.1218,2218.7346,2183.8296,2183.8296,1794.5312,1641.1526,1509.2468,1371.2059,1323.6586,1219.361,1125.7999,1041.4417,828.2452
5,FMCG,TW_鑽乾有限公司(Outright),8936.103,8872.726,8822.024,8809.349,8796.674,8758.647,8720.622,8530.492,8530.492,8391.063,8315.012,8124.882,8010.8037,7960.1025,7909.4014,7833.349,7757.2974,7706.596,7668.5703,7630.544,7605.1934,7567.1675,7541.817,7503.791,7351.687,7326.3364,7300.986,7250.2847,7123.5312,7072.83,7022.1284,6880.9014,6880.9014,6880.9014,6843.2324,6843.2324,6843.2324,6843.2324,6805.563,6805.563,6793.007,6793.007,6692.5557,6679.999,6679.999,6629.7734,6629.7734,6566.9917,6403.759,6340.9766,6340.9766,6328.4204,6303.308,6290.7515,6278.1953,6202.857,6127.5186,6114.962,6114.962,6114.962,6114.962,6154.797,6116.726,6104.0356,6078.6553,6065.965,6053.2744,6002.513,5989.823,5977.133
6,FMCG,TW_金享潤國際有限公司(Outright),17531.107,17531.107,17531.107,17531.107,17531.107,17475.896,17420.684,17320.066,17320.066,17169.139,16917.594,16716.357,16666.049,16666.049,16666.049,16615.738,16515.121,16414.502,16313.884,16213.266,16162.956,16162.956,16162.956,16158.054,16107.745,16007.127,15947.014,15846.3955,15846.3955,15846.3955,15841.493,15643.016,15593.179,15493.504,15443.667,15393.83,15343.993,15343.993,15294.156,15144.645,14790.929,14786.072,14786.072,14786.072,14786.072,14935.584,14935.584,14831.053,14831.053,14631.705,14532.03,14482.193,14482.193,14382.52,14382.52,14382.52,14382.52,14382.52,14382.52,14332.683,14332.683,14435.172,14334.435,14233.697,14233.697,14233.697,14183.329,14183.329,14183.329,14082.592
7,FMCG,TW_遠百企業股份有限公司(Outright),1400.1084,1375.2404,1364.1091,1359.4445,1302.6628,1250.6104,1210.1394,1189.7753,1189.7753,1149.1434,1139.9104,1056.3948,1046.0358,1044.202,1033.0709,1010.19745,1000.7714,1000.7714,992.5035,969.2118,922.757,904.70917,878.45776,850.4691,826.75916,815.82104,808.77563,802.92053,780.98004,778.5672,772.00433,746.40405,737.4489,712.52734,701.9787,701.9787,681.0408,678.87366,649.04425,646.87714,616.5697,605.73425,605.73425,598.75494,594.4208,596.5879,594.4208,592.25366,552.2899,543.3985,541.2314,541.2314,540.8808,540.8808,532.21246,532.21246,530.04535,520.899,520.899,518.7319,518.7319,511.1229,502.3621,488.25458,474.1471,474.1471,471.7314,471.7314,471.7314,469.5412
8,FMCG,TW_赤商國際股份有限公司(Outright),15660.586,15588.748,15527.174,15455.336,15362.974,15311.661,15188.511,15137.198,15137.198,14480.397,13926.223,13556.772,13474.672,13279.685,13238.635,13207.847,13115.484,13023.122,12961.547,12920.496,12181.596,11791.621,11524.796,11309.283,11052.721,10888.5205,10765.37,10395.92,10108.569,9964.895,9615.97,9393.582,9027.598,8580.285,8112.6387,7787.32,7370.5054,7299.342,7279.0093,6414.881,5723.5786,5591.418,5530.4204,5479.5894,5459.257,5489.7554,5276.265,5194.9355,5072.941,4971.279,4798.453,4706.957,4625.6274,4391.8047,4269.81,4147.8154,4035.987,3924.1587,3832.6626,3791.9978,3791.9978,3647.4958,3503.651,3421.4539,3215.9612,3092.6655,3051.567,2969.3699,2424.8142,1880.2584
9,FMCG,TW_貝比歐國際貿易股份有限公司(Outright),5152.1196,5152.1196,5101.78,5077.4834,5077.4834,5077.4834,5062.5312,5062.5312,5062.5312,5043.8726,5043.8726,5043.8726,5019.5757,4969.236,4946.0728,4744.7144,4744.7144,4744.7144,4670.0776,4670.0776,4670.0776,4670.0776,4670.0776,4645.781,4645.781,4595.4414,4595.4414,4595.4414,4595.4414,4595.4414,4595.4414,4528.2534,4478.386,4478.386,4478.386,4478.386,4478.386,4478.386,4478.386,4478.386,4444.271,4394.404,4394.404,4394.404,4394.404,4394.404,4394.404,4394.404,4394.404,4370.335,4370.335,4370.335,4370.335,4270.6,4270.6,4270.6,1463.7003,1463.7003,1463.7003,1463.7003,1463.7003,1479.3105,1479.3105,1428.9114,1404.5859,1404.5859,1505.3843,1505.3843,1380.2605,1380.2605
10,FMCG,TW_豐旗有限公司(Outright),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,FMCG,TW_薄荷糖國際貿易股份有限公司(Outright),52674.02,51903.48,51519.023,50996.875,49608.086,44976.92,43050.285,42219.05,42219.05,40832.63,40805.465,39927.523,38538.086,37005.82,36136.254,35267.67,34862.32,34957.3,34578.234,33950.383,33529.098,40202.105,39435.09,39053.42,39251.535,38903.48,37809.363,36799.387,35380.227,35139.19,34775.08,34174.5,32176.281,31562.76,31022.293,30652.31,30288.914,29744.797,29553.28,29187.426,28573.326,35901.227,35712.684,35288.613,34347.266,33562.72,33010.93,31756.566,31172.576,29962.861,29588.994,29324.299,29163.744,28886.059,28505.514,28370.025,28280.943,30613.412,30495.133,30436.828,30436.828,30090.111,29016.115,28534.824,27982.611,27051.656,26194.84,25660.021,25121.027,24051.412
12,FMCG,TW_英屬維京群島商太古食品股份有限公司台灣分公司(Outright),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,EL,TW_英富達有限公司(Outright),3742.7268,3696.1433,3696.1433,3684.4976,3642.225,3630.579,3603.6199,3556.1357,3556.1357,3478.9255,3436.653,3390.0696,3390.0696,3373.2122,3373.2122,3361.5662,3326.6287,3321.417,3304.5596,3304.5596,3304.5596,3653.935,3653.935,3653.935,3653.935,3630.6433,3613.786,3598.4727,3598.4727,3598.4727,3598.4727,3541.635,3530.0984,3495.4885,3480.3188,3480.3188,3465.1492,3465.1492,3453.6128,3438.443,3438.443,3438.443,3406.574,3406.574,3378.3381,3406.574,3383.5007,3383.5007,3383.5007,3383.5007,3383.5007,3302.7449,3302.7449,3233.5254,3210.4521,3172.2092,3160.6726,3160.6726,3068.3801,3051.6807,3051.6807,3072.5671,3060.9075,3033.9165,3022.2568,2995.2659,2998.9375,2975.6184,2975.6184,2963.9587
14,FMCG,TW_芯采國際有限公司(Outright),25.093277,25.093277,25.093277,25.093277,25.093277,25.093277,25.093277,25.093277,25.093277,25.093277,25.093277,25.093277,25.093277,25.093277,25.093277,25.093277,25.093277,25.093277,25.093277,25.093277,25.093277,25.093277,25.093277,25.093277,25.093277,25.093277,25.093277,25.093277,25.093277,25.093277,25.093277,24.857828,24.857828,24.857828,24.857828,24.857828,24.857828,24.857828,24.857828,24.857828,24.857828,24.857828,24.857828,24.857828,24.857828,24.857828,24.857828,24.857828,24.857828,24.857828,24.857828,24.857828,24.857828,24.857828,24.857828,24.857828,24.857828,24.857828,24.857828,24.857828,24.857828,25.122934,25.122934,25.122934,25.122934,25.122934,25.122934,25.122934,25.122934,25.122934
15,FMCG,TW_芃芃貿易有限公司(Outright),95.772675,95.772675,88.88811,88.88811,79.8481,72.96353,72.96353,66.078964,66.078964,66.078964,66.078964,66.078964,66.078964,66.078964,66.078964,66.078964,66.078964,71.580185,71.580185,66.078964,66.078964,66.078964,66.078964,59.194397,59.194397,59.194397,59.194397,45.425266,45.425266,45.425266,45.425266,44.999043,44.999043,38.179073,38.179073,38.179073,38.179073,38.179073,38.179073,38.179073,38.179073,38.179073,38.179073,38.179073,38.179073,38.179073,38.179073,38.179073,38.179073,38.179073,38.179073,38.179073,38.179073,38.179073,38.179073,31.359106,31.359106,31.359106,31.359106,31.359106,31.359106,31.693548,31.693548,31.693548,31.693548,31.693548,31.693548,31.693548,31.693548,31.693548
16,FMCG,TW_艾美麗精品美妝有限公司(Outright),3356.7734,3356.7734,3325.5215,3270.0647,3270.0647,3241.2644,3232.0728,3232.0728,3232.0728,3165.5864,3115.9517,3115.9517,3095.1172,3095.1172,3095.1172,3063.8655,3036.5967,3027.4053,3016.988,2989.7192,2989.7192,2940.0845,2908.8328,2887.9983,2857.9722,2857.9722,2848.7808,2800.6775,2800.6775,2778.005,2741.2385,2706.4124,2706.4124,2668.7769,2648.138,2637.8184,2518.841,2490.311,2387.1162,2321.254,2201.3657,2183.1553,2183.1553,2162.5164,2089.6738,2120.6323,2072.9805,2014.7063,1973.4282,1964.3229,1904.8344,1885.4094,1825.9209,1825.9209,1797.3909,1767.6465,1758.5413,1347.5887,1347.5887,1347.5887,1347.5887,1322.6968,1301.8376,1291.4081,1282.2057,1242.9418,1242.9418,1181.5916,1161.9596,1050.9159
17,FMCG,TW_艾拉摩時尚企業社(Outright),8.042717,4.0213585,4.0213585,4.0213585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0213585,4.0213585,4.0213585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Lifestyle,TW_至誠國際實業有限公司(Outright),737.7874,685.0883,685.0883,737.7874,737.7874,685.0883,685.0883,632.3892,632.3892,632.3892,632.3892,579.6901,579.6901,579.6901,579.6901,579.6901,579.6901,632.3892,632.3892,632.3892,632.3892,2225.6194,2225.6194,2225.6194,2305.2808,2305.2808,2305.2808,2305.2808,2305.2808,2225.6194,2225.6194,2204.7363,2125.8223,2046.9082,1967.9943,1967.9943,1967.9943,1967.9943,1967.9943,1889.0802,1889.0802,1889.0802,1810.1661,1810.1661,1810.1661,1810.1661,1810.1661,1810.1661,1810.1661,1731.2521,1731.2521,1731.2521,1731.2521,1731.2521,1731.2521,1731.2521,1731.2521,1731.2521,1731.2521,1731.2521,1731.2521,1749.7158,1749.7158,1669.9601,1669.9601,1669.9601,1829.4714,1749.7158,1749.7158,1749.7158
19,EL,TW_聯強國際股份有限公司_通訊(Outright),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3956.8945,3534.7324,3191.289,2926.5642,2661.8394,2397.1145,2397.1145,2318.396,1366.7843
