,category_cluster,supplier_name,no_skus_WH,inv_count,inventory_value_usd,brand_1,brand_2,brand_3,payment_terms
0,FMCG,"IC_Shopee Taiwan Co., Ltd. (Outright)",3,693,1509.33,Disney 迪士尼,自有品牌,n.a.,70 after ME
1,FMCG,TW_一加一國際開發股份有限公司(Outright),2,309,2780.983,gukang 固鋼,n.a.,n.a.,40 after ME
2,FMCG,TW_三協成事業有限公司(Outright),8,0,0.0,purafit(柏尹芙),n.a.,n.a.,40 after ME
3,FMCG,TW_亞樂國際開發有限公司(Outright),259,604,4165.5093,M.A.C,YSL 伊夫聖羅蘭,Kiehl's(契爾氏),30 after ME
4,FMCG,TW_交朋友汽車百貨行(Outright),3,4,33.742035,Persil(寶瀅),n.a.,n.a.,40 after ME
5,EL,TW_信星科技有限公司(Outright),46,64,1062.5713,自有品牌,PanoClip,n.a.,40 after ME
6,FMCG,TW_優盛國際有限公司(Outright),3,293,11857.83,ESTEE LAUDER(雅詩蘭黛),Kiehl's(契爾氏),n.a.,30 NET
7,FMCG,TW_儷揚國際有限公司(Outright),33,408,5742.7837,KOSE(高絲),SK-II,ESTEE LAUDER(雅詩蘭黛),30 after ME
8,EL,TW_元煬科技有限公司(Outright),13,83,1106.2466,Mi 小米,小米 (Xiaomi),n.a.,14 NET
9,FMCG,TW_克拉企業有限公司(Outright),5,2,32.337727,THERMOS(膳魔師),n.a.,n.a.,40 after ME
10,EL,TW_凱創實業股份有限公司(Outright),3,0,0.0,SAMPO 聲寶,n.a.,n.a.,40 after ME
11,FMCG,TW_凱思國際貿易有限公司(outright),5,5813,5794.7773,ICON(愛康),Deesse Vivante(笛絲薇夢),n.a.,40 after ME
12,FMCG,TW_卓品科技有限公司(Outright),1,0,0.0,KOSE(高絲),n.a.,n.a.,14 NET
13,FMCG,TW_叡聿國際有限公司(Outright),27,5988,223652.33,GOO.N 大王,Pampers(幫寶適),HUGGIES(好奇),14 NET
