,category_cluster,supplier_name,2019-08-01,2019-08-02,2019-08-03,2019-08-04,2019-08-05,2019-08-06,2019-08-07,2019-08-08,2019-08-09,2019-08-10,2019-08-11,2019-08-12,2019-08-13,2019-08-14,2019-08-15,2019-08-16,2019-08-17,2019-08-18,2019-08-19,2019-08-20,2019-08-21,2019-08-22,2019-08-23,2019-08-24,2019-08-25,2019-08-26,2019-08-27,2019-08-28,2019-08-29,2019-08-30,2019-08-31,2019-09-01,2019-09-02,2019-09-03,2019-09-04,2019-09-05,2019-09-06,2019-09-07,2019-09-08,2019-09-09,2019-09-10,2019-09-11,2019-09-12,2019-09-13,2019-09-14,2019-09-15,2019-09-16,2019-09-17,2019-09-18,2019-09-19,2019-09-20,2019-09-21,2019-09-22,2019-09-23,2019-09-24,2019-09-25,2019-09-26,2019-09-27,2019-09-28,2019-09-29,2019-09-30,2019-10-01,2019-10-02,2019-10-03,2019-10-04,2019-10-05,2019-10-06,2019-10-07,2019-10-08,2019-10-09
0,FMCG,vn_Công ty TNHH Thương Mại Song Hằng_outright,54.09929,58.930927,20.064873,39.557674,51.426876,26.937965,20.194206,58.497917,35.774296,22.739313,50.986847,19.972828,13.560123,14.439804,32.42396,51.34265,22.833326,8.705099,8.936247,16.550102,18.240784,12.335588,18.852077,15.79174,14.792484,31.938107,29.68298,24.300922,23.957952,36.21909,20.591919,21.846146,0.0,40.584435,28.425892,29.14274,30.611618,8.872053,12.240726,54.723015,119.86947,279.89188,155.66748,20.470411,37.544785,0.0,64.925,0.0,70.827774,48.790718,17.795088,46.554188,12.847888,-645.70337,6.2085505,7.06638,26.349964,6.6981673,40.012726,0.0,21.206905,4.5956955,51.91894,6.326801,34.501484,15.168589,90.69799,32.13919,15.983446,48.98447
1,EL,VN_công ty TNHH MTV -SẢN XUẤT-THƯƠNG MẠI-DỊCH VỤ DTR_Outright,237.23608,804.789,364.73795,124.570175,1136.18,1965.9326,1171.483,2318.4836,1584.4185,183.7398,260.97592,688.64374,542.2851,644.4058,378.60654,478.4954,242.83116,257.99652,374.3363,358.74344,517.2848,712.116,253.17743,230.33138,130.33057,211.5231,160.46304,222.84732,893.1131,302.11783,145.49593,123.65731,0.0,339.6079,305.6455,567.9306,377.4041,154.84145,99.96298,896.21625,362.24756,1471.6284,532.0508,532.05005,305.64648,56.601074,781.093,0.0,418.8485,2027.4521,770.9064,181.12256,147.16345,203.76437,237.7251,192.44336,87.466736,283.00537,294.32568,45.28076,305.646,-3592.5225,237.75299,149.09976,475.50635,781.1892,260.3947,634.0081,-1200.0863,374.7875
2,EL,VN_Warehouse VN_Outright,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Lifestyle,VN_VIỆN QUẢN LÝ P.A.C.E_Outright,-16.375237,2.0936203,0.0,10.098602,16.625793,16.995224,0.0,4.803009,8.620773,0.0,0.0,21.428818,8.128174,2.33992,6.1576996,0.0,5.6650696,0.0,2.33992,11.330177,0.0,0.0,0.0,0.0,0.0,4.802994,7.7586975,0.0,4.803009,0.0,2.586235,1.2567444,0.0,17.481155,7.386406,2.339035,2.0928116,0.0,5.9091187,3.0776672,0.0,5.416687,11.94136,12.064453,11.695137,0.0,11.325813,0.0,10.217842,4.8011627,4.8011627,12.064461,18.219803,14.157272,0.0,0.0,8.001938,2.5852356,0.0,0.0,5.170479,4.4316025,26.963608,7.3872757,2.5855484,4.8017273,0.0,7.510414,7.264168,1.6005859
4,FMCG,VN_TAISUN VIET NAM_Outright,238.22081,1215.8981,905.23975,1165.5616,542.41797,761.21674,772.6715,1618.8605,675.87476,309.5227,499.43823,767.1171,1097.352,219.24324,483.7375,636.2277,288.63785,468.50568,825.4766,353.24313,444.75702,249.38583,625.68634,325.44583,357.95834,1114.4602,398.56805,1277.7876,738.38654,387.46866,421.99576,504.16476,0.0,1159.5614,449.10184,818.81757,768.38666,1424.7437,475.03818,997.13544,1724.3014,614.2673,2176.365,740.8124,780.10864,0.0,1767.3384,0.0,613.65045,800.8028,386.44638,521.7027,805.9358,1373.7109,578.63324,574.5369,774.398,410.92645,506.27954,64.53115,877.9444,873.6419,858.23126,595.1149,422.40265,297.249,375.83118,832.19354,482.1832,567.4239
5,Lifestyle,VN_NHÀ SÁCH SAO MAI_Outright,8.171128,-0.58190227,7.7155986,0.0,7.8018064,6.50869,3.2112408,15.237231,8.319054,1.6163967,0.0,9.461306,6.5517936,5.40954,6.3793764,4.310391,3.168137,0.64655876,12.888068,30.25894,8.685438,10.92684,3.9655602,7.5431833,6.3147216,-2.1983008,3.6207275,7.2845597,1.530189,0.75431824,4.353494,1.2607586,0.0,9.112973,5.5582676,1.5296001,4.351822,0.6893969,1.1849012,9.43613,1.4649696,14.671242,22.276155,6.829344,7.777266,0.0,7.411022,0.0,19.453936,16.631716,8.0357895,7.734178,16.89024,17.924334,5.0627627,22.556225,10.814923,6.355383,10.340961,-4.8473263,11.181167,11.114824,8.252217,8.0583,5.2357407,7.0456247,6.0760455,4.3307977,6.916349,3.7705953
6,Fashion,VN_NGUYỄN TẤN TÀI_Outright,816.9554,310.13263,162.45866,89.09572,55.172997,68.233475,223.27824,593.15283,115.04431,13.146706,81.5526,68.535194,70.043884,55.819492,50.64711,37.759014,52.58676,45.4315,35.172775,45.215973,85.690575,137.15663,164.31209,15.689835,23.276108,59.224792,72.97489,42.54354,151.1654,49.87121,61.379963,64.451744,0.0,64.070915,96.77416,60.408447,41.10531,26.455635,15.080566,23.267159,27.791336,210.56787,235.29991,28.566925,28.437656,0.0,15.382202,0.0,55.36723,40.932964,64.113976,74.11023,43.733658,62.9937,91.81911,31.022894,2.757576,53.55757,29.040863,0.0,118.1455,86.53558,72.43852,59.036747,102.172356,21.546257,34.430912,75.75663,62.828888,49.297836
7,Fashion,VN_JBS Textile Group A/S_ Outright,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,FMCG,VN_Hợp tác xã thương mại Quận 3(Tricoop)_Outright,52.95551,4.800209,0.0,2.9624138,2.3589582,7.762621,0.0,9.600414,12.56283,0.0,4.8002076,0.0,0.0,0.0,5.805704,0.0,2.9624147,2.9624138,11.849654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011321545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035364628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Lifestyle,VN_Hộ Kinh Doanh Phạm Văn Tú_ Outright,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.8535156,182.37256,80.90597,295.21863,4.3103027,15.474331,153.40678,72.069756,171.42424,102.24251,142.24284,58.260365,0.0,138.65504,92.59468,133.57086,190.14436,22.319687,0.0,1287.3202,901.8612,263.30676,37.485962,366.3718,152.87373,66.7856,39.252502,0.0,257.3606,55.97058,222.7183,16.373138,109.31274,187.12845,53.385033,367.44897,196.43524,310.31506,151.96906,35.590126,174.89142,309.195,307.9821,216.28119,346.59326,28.4842,67.13818,243.64502,778.2077,366.63116
