,category_cluster,supplier_name,2019-08-01,2019-08-02,2019-08-03,2019-08-04,2019-08-05,2019-08-06,2019-08-07,2019-08-08,2019-08-09,2019-08-10,2019-08-11,2019-08-12,2019-08-13,2019-08-14,2019-08-15,2019-08-16,2019-08-17,2019-08-18,2019-08-19,2019-08-20,2019-08-21,2019-08-22,2019-08-23,2019-08-24,2019-08-25,2019-08-26,2019-08-27,2019-08-28,2019-08-29,2019-08-30,2019-08-31,2019-09-01,2019-09-02,2019-09-03,2019-09-04,2019-09-05,2019-09-06,2019-09-07,2019-09-08,2019-09-09,2019-09-10,2019-09-11,2019-09-12,2019-09-13,2019-09-14,2019-09-15,2019-09-16,2019-09-17,2019-09-18,2019-09-19,2019-09-20,2019-09-21,2019-09-22,2019-09-23,2019-09-24,2019-09-25,2019-09-26,2019-09-27,2019-09-28,2019-09-29,2019-09-30,2019-10-01,2019-10-02,2019-10-03,2019-10-04,2019-10-05,2019-10-06,2019-10-07,2019-10-08,2019-10-09
0,FMCG,vn_Công ty TNHH Thương Mại Song Hằng_outright,4460.5234,4401.593,4381.528,4341.97,4290.5435,4263.6055,4243.411,4184.913,4354.1333,4331.394,4280.407,4643.316,4629.756,4615.3164,4582.892,4217.9478,4195.1147,4186.4097,4177.473,4474.525,4456.284,4443.948,4425.096,4409.3047,4394.512,4362.574,4332.891,4308.5903,4284.6323,4248.413,4227.8213,4205.975,4205.975,4165.3906,4136.965,4107.822,4794.492,4785.62,4773.3794,4718.6562,4598.787,4318.895,4163.2275,4142.7573,4168.198,4168.198,4103.2734,4092.4426,4262.1606,4213.37,4195.575,4149.021,4136.173,3853.5396,4747.128,5049.5073,5023.157,5016.459,4976.4463,4976.4463,4955.2393,4950.6436,4898.7246,4892.398,4857.8965,4842.728,4752.03,4719.8906,4703.907,4654.923
1,EL,VN_công ty TNHH MTV -SẢN XUẤT-THƯƠNG MẠI-DỊCH VỤ DTR_Outright,15633.304,14828.516,14463.777,14339.207,13203.027,52005.555,50834.07,48515.586,46931.168,46747.426,46486.453,45797.81,45255.523,44611.117,44232.51,43754.016,43511.184,43253.188,42878.85,42520.11,42002.824,41290.707,41037.53,40807.2,40676.867,40465.344,40304.883,40082.035,39188.92,38886.805,38741.31,38617.65,38617.65,38278.043,37972.4,37404.465,40423.13,40268.285,40168.324,39272.105,38909.86,37438.23,36906.18,35808.12,35502.473,35445.87,34664.777,34472.336,34053.484,32026.033,31821.139,31640.016,31492.852,31289.088,31051.363,30858.92,30771.453,30488.447,30194.121,30148.842,29843.195,29495.807,27288.1,27139.0,26663.494,27852.26,27591.865,26957.855,26572.922,26198.133
2,EL,VN_Warehouse VN_Outright,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Lifestyle,VN_VIỆN QUẢN LÝ P.A.C.E_Outright,3407.4253,3405.3315,3405.3315,3395.233,3378.6072,3361.612,3361.612,3356.8088,3348.1882,3348.1882,3348.1882,3326.7593,3318.631,3316.2913,3310.1335,3310.1335,3304.4685,3304.4685,3302.1287,3290.7983,3290.7983,3290.7983,3290.7983,3290.7983,3290.7983,3285.9954,3278.2368,3278.2368,3273.4336,3273.4336,3270.8474,3269.5908,3269.5908,3252.1096,3244.7231,3242.384,3240.2913,3240.2913,3234.382,3231.3044,3231.3044,3225.888,3213.9465,3201.882,3190.1868,3190.1868,3178.861,3162.2417,3152.024,3147.2227,3142.4214,3130.357,3112.1372,3097.98,3097.98,3097.98,3089.978,3087.3928,3087.3928,3087.3928,3082.2224,3077.7908,3050.8271,3043.4397,3040.8542,3036.0525,3036.0525,3028.5422,3021.2778,3019.6772
4,FMCG,VN_TAISUN VIET NAM_Outright,24941.637,25239.41,24334.17,23168.607,22626.19,21864.973,21092.303,19473.441,18797.566,18501.424,18001.986,17234.87,16137.517,15918.273,15434.536,14798.309,14509.67,14041.165,13215.6875,12862.445,12417.6875,12168.302,11542.615,11217.17,24825.906,23711.445,23312.877,29591.023,35369.38,40003.94,39581.945,39077.78,39077.78,37918.22,37469.117,36650.3,35961.62,34536.88,34061.84,33064.703,31340.402,30726.137,28549.771,27808.959,27028.85,27028.85,25261.512,24862.898,24249.248,23448.445,23105.678,22583.975,21778.04,20404.328,19825.695,19251.158,18476.76,18065.834,31258.885,31194.354,35268.773,34395.13,33536.9,32941.785,32519.38,32222.133,31846.3,31014.107,30531.924,29964.5
5,Lifestyle,VN_NHÀ SÁCH SAO MAI_Outright,1780.9025,1781.4844,1773.7688,1773.7688,1765.9669,1759.4583,1756.2471,1741.0098,1732.6908,1731.0743,1731.0743,1721.613,1715.0613,1709.6517,1703.2723,1698.9619,1695.7938,1695.1472,1682.2592,1652.0002,1643.3148,1632.388,1628.4224,1620.8792,1614.5645,1616.7628,1613.1421,1605.8575,1604.3273,1603.573,1599.2195,1597.9587,1597.9587,1588.8458,1583.2875,1581.7579,1577.4061,1690.9628,2604.91,2595.4739,2594.0088,2579.3376,2557.0615,2550.2322,2542.4548,2542.4548,2535.0437,2506.3691,2486.9153,2470.2834,2462.2478,2454.5137,2437.6233,2419.699,2414.6362,2392.08,2381.2651,2374.9097,2364.5688,2369.416,2358.2349,2347.12,2338.868,2330.8096,2325.5737,2318.528,2312.4521,2308.1213,2301.205,2297.4343
6,Fashion,VN_NGUYỄN TẤN TÀI_Outright,7839.8677,7529.735,7367.2764,7278.1807,7223.0073,7154.774,6931.4956,6338.343,6223.2983,6210.152,6128.599,6060.064,5990.02,5934.2007,5883.5537,5845.7944,5793.208,5747.7764,5712.6035,5667.3877,5581.697,5444.5405,5280.2285,5264.5386,5241.262,5182.0376,5109.0625,5066.519,4915.3535,4865.4824,4804.1025,4739.651,4739.651,4675.58,4578.8057,4518.3975,4477.292,4450.8364,4435.756,4412.489,4384.6973,4174.1294,3938.8293,3910.2625,3881.825,3881.825,3866.4426,3849.423,3794.056,3753.123,3689.009,3614.8987,3571.165,3508.1714,3416.3523,3385.3293,3382.5718,3329.0142,3299.9734,3299.9734,3181.828,3095.2922,3022.8538,2963.8171,2861.6448,2840.0984,2805.6675,2729.911,2667.082,2617.7842
7,Fashion,VN_JBS Textile Group A/S_ Outright,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,FMCG,VN_Hợp tác xã thương mại Quận 3(Tricoop)_Outright,97.89347,93.09326,93.09326,90.13085,87.77189,80.00927,80.00927,70.40886,57.846027,57.846027,53.04582,53.04582,53.04582,53.04582,47.240116,47.240116,44.277702,41.31529,29.465633,29.465633,29.465633,29.465633,29.465633,29.465633,29.465633,29.465633,29.465633,29.465633,29.465633,29.465633,29.465633,29.454311,29.454311,29.454311,29.454311,29.454311,29.454311,29.454311,29.454311,29.454311,29.454311,29.454311,29.454311,29.454311,29.454311,29.454311,29.454311,29.454311,29.454311,29.454311,29.454311,29.454311,29.454311,29.454311,29.454311,29.454311,29.454311,29.454311,29.454311,29.454311,29.454311,29.457848,29.457848,29.457848,29.457848,29.457848,29.457848,29.457848,29.457848,29.457848
9,Lifestyle,VN_Hộ Kinh Doanh Phạm Văn Tú_ Outright,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,5616.4385,5616.4385,5609.585,5427.2124,5346.3066,5051.088,5046.7773,5031.303,4877.8965,4805.8267,4634.4023,4532.16,4389.917,4331.6567,4331.6567,4193.0015,4100.407,9559.573,9369.429,13138.796,13138.796,11851.476,10949.614,10686.308,10648.821,10282.449,10129.576,10062.79,10023.538,9853.816,9596.456,9540.485,9317.768,9301.395,9192.081,9004.953,10876.279,10508.83,10312.3955,10002.08,9850.111,9814.521,9639.63,9330.435,9022.452,8806.171,8459.578,8431.094,8363.956,8120.3105,7342.103,6975.4717
