,category_cluster,supplier_name,2019-08-01,2019-08-02,2019-08-03,2019-08-04,2019-08-05,2019-08-06,2019-08-07,2019-08-08,2019-08-09,2019-08-10,2019-08-11,2019-08-12,2019-08-13,2019-08-14,2019-08-15,2019-08-16,2019-08-17,2019-08-18,2019-08-19,2019-08-20,2019-08-21,2019-08-22,2019-08-23,2019-08-24,2019-08-25,2019-08-26,2019-08-27,2019-08-28,2019-08-29,2019-08-30,2019-08-31,2019-09-01,2019-09-02,2019-09-03,2019-09-04,2019-09-05,2019-09-06,2019-09-07,2019-09-08,2019-09-09,2019-09-10,2019-09-11,2019-09-12,2019-09-13,2019-09-14,2019-09-15,2019-09-16,2019-09-17,2019-09-18,2019-09-19,2019-09-20,2019-09-21,2019-09-22,2019-09-23,2019-09-24,2019-09-25,2019-09-26,2019-09-27,2019-09-28,2019-09-29,2019-09-30,2019-10-01,2019-10-02,2019-10-03,2019-10-04,2019-10-05,2019-10-06,2019-10-07,2019-10-08,2019-10-09
0,FMCG,vn_Công ty TNHH Thương Mại Song Hằng_outright,1292.7439,1292.7439,1292.7439,1292.7439,1292.7439,1292.7439,1292.7439,1292.7439,1497.7382,1497.7382,1497.7382,1880.6201,1676.3075,1676.3075,1495.0332,1495.0332,1495.0332,1495.0332,1495.0332,1808.6349,1808.6349,1808.6349,1808.6349,1808.6349,1377.2902,1377.2902,1377.2902,1377.2902,901.4779,901.4779,901.4779,901.1316,901.1316,901.1316,901.1316,901.1316,1618.4133,1618.4133,1413.4978,1413.4978,1413.4978,1030.763,1030.763,1030.763,1093.7489,1093.7489,1093.7489,1093.7489,1334.2949,1020.8137,1020.8137,1020.8137,1020.8137,1020.8137,1920.6106,2230.0562,2230.0562,2230.0562,2230.0562,2230.0562,2230.0562,2230.324,2230.324,2230.324,2230.324,2230.324,1512.956,1512.956,1512.956,1512.956
1,EL,VN_công ty TNHH MTV -SẢN XUẤT-THƯƠNG MẠI-DỊCH VỤ DTR_Outright,37.371086,37.371086,37.371086,0.0,0.0,40768.457,40768.457,40768.457,40768.457,40768.457,40768.457,40768.457,40768.457,40768.457,40768.457,40768.457,40768.457,40768.457,40768.457,40768.457,40768.457,40768.457,40768.457,40768.457,40768.457,40768.457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3396.066,3396.066,3396.066,3396.066,3396.066,3396.066,3396.066,6792.132,6792.132,6792.132,6792.132,6792.132,6792.132,6792.132,7358.1426,7358.1426,7358.1426,7358.1426,7358.1426,7358.1426,7358.1426,3962.077,3962.077,3962.077,3962.077,3962.5527,3962.5527,3962.5527,566.079,2536.0337,2536.0337,2536.0337,2536.0337,3328.5435
2,EL,VN_Warehouse VN_Outright,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Lifestyle,VN_VIỆN QUẢN LÝ P.A.C.E_Outright,3435.9968,3435.9968,3435.9968,3435.9968,3435.9968,3435.9968,3435.9968,3435.9968,3435.9968,3435.9968,3435.9968,3435.9968,3435.9968,3435.9968,3435.9968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,FMCG,VN_TAISUN VIET NAM_Outright,23228.879,24742.549,24742.549,24742.549,24742.549,24742.549,24742.549,24742.549,24742.549,24755.93,24715.787,24715.787,24715.787,24715.787,24715.787,24715.787,24715.787,16292.658,16292.658,16292.658,16292.658,16292.658,16292.658,16292.658,30259.354,30259.354,30259.354,37815.285,44332.027,39716.836,34588.453,33062.074,33062.074,33062.074,33062.074,33062.074,33141.78,33141.78,33141.78,33128.406,33128.406,33128.406,33128.406,33128.406,33128.406,33128.406,33128.406,33128.406,33128.406,33128.406,33172.086,33172.086,33172.086,33172.086,19210.756,19210.756,19210.756,11657.728,18842.818,13822.716,18775.08,18777.334,18777.334,18777.334,18777.334,18777.334,18697.617,18697.617,18697.617,18697.617
5,Lifestyle,VN_NHÀ SÁCH SAO MAI_Outright,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.246086,1029.3782,1029.3782,1029.3782,1029.3782,1029.3782,1029.3782,1029.3782,1029.3782,1029.3782,1029.3782,1029.3782,1029.3782,1029.3782,1029.3782,1029.3782,1029.3782,1029.3782,1029.3782,1029.3782,1029.3782,1029.3782,1029.3782,1029.3782,1029.5017,1029.5017,1029.5017,1029.5017,1029.5017,1029.5017,915.24194,0.0,0.0
6,Fashion,VN_NGUYỄN TẤN TÀI_Outright,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Fashion,VN_JBS Textile Group A/S_ Outright,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,FMCG,VN_Hợp tác xã thương mại Quận 3(Tricoop)_Outright,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Lifestyle,VN_Hộ Kinh Doanh Phạm Văn Tú_ Outright,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,5616.4385,5616.4385,5616.4385,5616.4385,5616.4385,5616.4385,5616.4385,5616.4385,5616.4385,5616.4385,5616.4385,5616.4385,5616.4385,5614.281,5614.281,5614.281,5614.281,11207.018,11207.018,14998.704,14998.704,14998.704,14998.704,14998.704,14998.704,14998.704,14998.704,14998.704,14998.704,14998.704,9384.423,9384.423,9384.423,9384.423,9384.423,9384.423,11309.135,11309.135,11309.135,11309.135,11309.135,11309.135,11309.135,11310.492,11310.492,11310.492,11310.492,5717.084,5717.084,1924.9426,1924.9426,1924.9426
