,category_cluster,supplier_name,no_skus_WH,inv_count,inventory_value_usd,brand_1,brand_2,brand_3,payment_terms
0,FMCG,VN_CHI NHÁNH CTY CP SỮA VIỆT NAM TẠI HÀ NỘI_Outright,202,5348,22619.592,Vinamilk,VINAMILK,vfresh,15 NET
1,FMCG,VN_CHI NHÁNH CÔNG TY CP ACECOOK VIỆT NAM TẠI HƯNG YÊN _Outright,67,6,43.137253,Acecook,n.a.,n.a.,15 NET
2,EL,VN_CHI NHÁNH CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐIỆN LẠNH ĐIỆN MÁY VIỆT ÚC_Outright,193,382,7249.3257,Kangaroo,kangaroo,Goldsun,30 NET
3,FMCG,VN_CHI NHÁNH CÔNG TY TNHH DKSH VIỆT NAM TẠI HÀ NỘI_Outright,620,43480,159168.97,NIVEA,Durex,Nivea,30 NET
4,FMCG,VN_CHI NHÁNH CÔNG TY TNHH DỊCH VỤ VÀ THƯƠNG MẠI MESA_Outright,334,9274,24467.412,Downy,Pampers,ARIEL,30 NET
5,EL,VN_CHI NHÁNH CÔNG TY TNHH NHÀ SƠN VÂN_Outright,18,8,225.25648,Sennheiser,Mionix,Roccat,15 NET
6,Lifestyle,VN_CHẤN LONG_Outright,51,155,290.5901,SDI,SDI Copporation,n.a.,30 NET
7,EL,VN_CN CTY CP GOLDSUN VN (TP.HN)_OUTRIGHT,113,407,3310.563,Goldsun,goldsun,Sunhouse,30 NET
8,FMCG,VN_CN CTY CP XNK TM Đài Linh_Outright,7,824,2969.7715,ipek,n.a.,n.a.,30 NET
9,EL,VN_CN CTY TNHH TM KT TIN HỌC ANH NGỌC (TP-HN)_OUTRIGHT,41,951,15532.491,EZVIZ,D-Link,TP-LINK,30 NET
10,Lifestyle,VN_CN CÔNG TY CP SÁCH THÁI HÀ_Outright,755,3367,7005.0425,Nhiều tác giả,Wataru WATARI,Tăng Phương,30 NET
11,FMCG,VN_CN Công Ty TNHH Dinh Dưỡng 3A (Việt Nam) tại Hà Nội_ Outright,237,15196,323411.2,Abbott,Abbott Grow,ABBOTT,15 NET
12,FMCG,VN_CN Công Ty TNHH Wipro Consumer Care Việt Nam tại Hà Nội_ Outright,6,4608,21042.033,Maxkleen,n.a.,n.a.,30 NET
13,Lifestyle,VN_CN Công ty CP Phim Thiên Ngân_Outright,1,0,0.0,galaxy,n.a.,n.a.,30 NET
14,EL,VN_CN Công ty TNHH Phân Phối Synnex FPT_Outright,143,1429,233455.92,ASUS,BUK,FPT,15 NET
15,FMCG,VN_CN TẠI TPHCM CTY TNHH PHÂN PHỐI SNB_Outright,34,653,5576.262,Glico,Arau Baby,Lec,15 NET
16,EL,VN_CTY CP CÔNG NGHỆ VIỄN THÔNG PHÚC THỊNH_OUTRIGHT,48,2197,11740.138,SILICON POWER,TEAMGROUP,Romoss,21 NET
17,EL,VN_CTY CP DI ĐỘNG THÔNG MINH_OUTRIGHT,8,2,326.64127,Oppo,n.a.,n.a.,30 NET
18,EL,VN_CTY CP THẾ GIỚI SỐ_OUTRIGHT,178,2651,86200.88,Xiaomi,DELL,YI,30 NET
19,Lifestyle,VN_CTY CP TẬP ĐOÀN SUNHOUSE_OUTRIGHT,182,2261,16995.639,SUNHOUSE,Sunhouse,sunhouse,30 NET
20,EL,VN_CTY CP ĐIỆN THOẠI DI ĐỘNG THÀNH CÔNG_OUTRIGHT,11,0,0.0,BAVAPEN,n.a.,n.a.,15 NET
21,Lifestyle,VN_CTY CP ĐẦU TƯ CÔNG NGHỆ Á CHÂU_OUTRIGHT,10,85,1785.9895,Luminarc,SUNHOUSE,n.a.,30 NET
22,FMCG,VN_CTY CỔ PHẦN DƯỢC MỸ PHẨM_OUTRIGHT,7,474,1579.1252,Jomi,Mayan,n.a.,30 NET
23,EL,VN_CTY CỔ PHẦN PHÂN PHỐI GIA HUY_OUTRIGHT,58,213,3848.4294,Comet,COMET,No brand,21 NET
24,Lifestyle,VN_CTY TNHH COMMO VINA_Outright,3,119,846.1216,Glasslock,LOCK&LOCK,n.a.,30 NET
25,Lifestyle,VN_CTY TNHH GP ĐÓNG GÓI MAGIX VN_Ouright,1,0,0.0,Shopee,n.a.,n.a.,30 NET
26,EL,VN_CTY TNHH GTS HẢI ĐĂNG_OUTRIGHT,17,0,0.0,SUNHOUSE,Sunhouse,Alaska,21 NET
27,FMCG,VN_CTY TNHH KINH DOANH THƯƠNG MẠI VÀ DỊCH VỤ VINDS_OUTRIGHT,165,0,0.0,Yves Rocher,Maybelline New York,REVLON,30 NET
28,EL,VN_CTY TNHH MTV KỸ THUẬT & KHOA HỌC OPPO_OUTRIGHT,3,0,0.0,Oppo,n.a.,n.a.,30 NET
29,FMCG,VN_CTY TNHH MTV PHẠM ANH_OUTRIGHT,24,92,35.426563,Meizan,Simply,Neptune,15 NET
30,Lifestyle,VN_CTY TNHH MTV THIÊN SAO KIM_OUTRIGHT,5,716,2310.161,Homeeasy,n.a.,n.a.,30 NET
31,EL,VN_CTY TNHH MUA BÁN QUẢNG CÁO TRỰC TUYẾN 24 GIỜ_OUTRIGHT,1,0,0.0,Hitops,No Brand,n.a.,30 NET
32,Lifestyle,VN_CTY TNHH MỘT THÀNH VIÊN HOA NHÀ BẾP_OUTRIGHT,28,445,3355.508,FIVESTAR,ILO,No Brand,30 NET
33,EL,VN_CTY TNHH PHÂN PHỐI FPT (FDC)_OUTRIGHT,6,0,0.0,Nokia,n.a.,n.a.,30 NET
34,EL,VN_CTY TNHH PHÂN PHỐI SYNNEX FPT_OUTRIGHT,1,0,0.0,Nokia,ASUS,n.a.,30 NET
35,Lifestyle,VN_CTY TNHH R STAR_Outright,25,19,59.392174,Star Kids,Pamama,No brand,30 NET
36,EL,VN_CTY TNHH SAMSUNG ELECTRONICS VN THÁI NGUYÊN-CN HCM_OUTRIGHT,185,1852,294134.34,Samsung,n.a.,n.a.,30 NET
37,EL,VN_CTY TNHH SX TM VÀ DV ALOBUY VN_OUTRIGHT,19,0,0.0,Comet,SENKO,Tashuan,30 NET
38,EL,VN_CTY TNHH THƯƠNG MẠI DỊCH VỤ QUỐC VIỆT_OUTRIGHT,10,0,0.0,logitech,n.a.,n.a.,30 NET
39,EL,VN_CTY TNHH THƯƠNG MẠI KỸ THUẬT DIỆP KHÁNH_OUTRIGHT,7,0,0.0,Sandisk,n.a.,n.a.,30 NET
40,Fashion,VN_CTY TNHH THỜI TRANG MẶT TRỜI ĐỎ_OUTRIGHT,388,4557,21589.352,Verchini,VERCHINI,n.a.,15 NET
41,Lifestyle,VN_CTY TNHH TM DV XUẤT NHẬP KHẨU CUNG CẦU_OUTRIGHT,1,0,0.0,Uncle Bills,n.a.,n.a.,30
42,EL,VN_CTY TNHH TM DV ĐIỆN THOẠI KIM THANH_OUTRIGHT,2,0,0.0,Samsung,n.a.,n.a.,30 NET
43,FMCG,VN_CTY TNHH TM VÀ DV DƯỢC PHẨM ANH MINH_OUTRIGHT,1,0,0.0,Amibebe,n.a.,n.a.,30 NET
44,Lifestyle,VN_Centum Korea (YG Official Shop)_Outright,23,1288,39808.273,YG ENTERTAINMENT,n.a.,n.a.,10 NET
45,Fashion,VN_Chi Nhánh Công ty TNHH Bình Tiên Đồng Nai_Ouright,62,0,0.0,Biti's,n.a.,n.a.,30 NET
46,Lifestyle,VN_Chi nhánh Cty CP TM – DV Cổng Vàng (TP. Hà Nội)_Outright,2,0,0.0,Golden Gate,n.a.,n.a.,30 NET
47,Lifestyle,VN_Chi nhánh Cty CP Văn hóa & Truyền thông Nhã Nam_Outright,1018,3472,8290.241,Nhiều tác giả,Sasbadi Group, Hiroshima Reiko,30 NET
48,EL,VN_Chi nhánh Công ty CP Kỹ Thuật Công Nghệ Nam Thành_Outright,33,181,1168.2402,TP-LINK,Bluener,TP-Link,30 NET
49,FMCG,VN_Chi nhánh Công ty TNHH DV Và TM MESA_Outright,38,3185,10591.554,Old Spice,OLAY,Gillette,30 NET
50,FMCG,VN_Chi nhánh Công ty TNHH Phân Phối Tiên Tiến _ outright,124,11220,234534.05,Enfa,Solite,AFC,30 NET
51,Lifestyle,VN_Chi nhánh Công ty TNHH Thương mại Phúc Mã_Outright,326,1102,905.3395,Artline,n.a.,n.a.,30 NET
52,FMCG,VN_Chi nhánh Công ty TNHH Thực phẩm Orion Vina_outright,17,243,662.766,Orion,Lime Orange,n.a.,30 NET
53,Lifestyle,VN_Chi nhánh Nhà xuất bản Kim Đồng Tại Tphcm_Outright,5130,16133,20941.46,Nhiều tác giả,Yoshito Usui,Adachi Toka,30 NET
54,Lifestyle,VN_Chi nhánh Phía Nam Công ty CP văn hóa Huy Hoàng_Outright,1610,13358,20557.057,Dale Carnegie,Đức Anh,Ngọc Hà,30 NET
55,EL,VN_Chi nhánh Tây Ninh_Công ty CP viễn thông FPT_Outright,8,662,28197.39,FPT,n.a.,n.a.,15 NET
56,FMCG,VN_Chi nhánh Tại TPHCM_Công Ty TNHH Thế Giới Tuổi Thơ SNB_Outright,27,0,0.0,Arau Baby,Lec,LEC,15 NET
57,FMCG,VN_Chi nhánh công ty TNHH Miwon Việt Nam_Outright,28,2875,821.08514,Miwon,Chung Jung One,O'food,30 NET
58,FMCG,VN_Cty CP Angel Việt Nam_Outright,152,2136,6502.6577,Wesser,agassi,agi,30 NET
59,EL,VN_Cty CP PTDV Sen Vàng_Outright,26,75,712.6719,Hasu,PANSY,HASU,30 NET
60,FMCG,VN_Cty CP Quốc Tế Thiên Anh_Outright,46,0,0.0,DABO,benew,Benew,30 NET
61,Lifestyle,VN_Cty TNHH Lâm Ngọc Việt_Outright,83,458,1441.3424,antona,Antona,Lovely Kid,15 NET
62,FMCG,VN_CÔNG TY CP DIANA UNICHARM_Outright,750,61518,319989.4,Bobby,moony,Silcot,21 NET
63,Lifestyle,VN_CÔNG TY CP ETIC VIỆT NAM_Ouright,6,0,0.0,ETIC,n.a.,n.a.,30 NET
64,FMCG,VN_CÔNG TY CP MỸ PHẨM VÀ THỜI TRANG BNF_Outright,71,0,0.0,SeaNtree,SeaNTree,n.a.,30 NET
65,Lifestyle,VN_CÔNG TY CP PHÂN PHỐI THIẾT BỊ ĐIỆN KTG_outright,29,381,995.4899,COMET,comet,Mitsubishi,30 NET
66,FMCG,VN_CÔNG TY CP QUỐC TẾ NAM THÀNH_Outright,78,165,845.3833,Kerasys,KERASYS,Showermate,30 NET
67,FMCG,VN_CÔNG TY CP SX VÀ XNK ĐỨC NAM_Outright,18,415,1199.8829,Byphasse,Tippys,Ola,30 NET
68,FMCG,VN_CÔNG TY CP THƯƠNG MẠI DỊCH VỤ SẢN XUẤT HƯƠNG THỦY_Outright,57,3391,25706.807,Anmum,Anlene,No Brand,30 NET
69,Lifestyle,VN_CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐIỆN LẠNH ĐIỆN MÁY VIỆT ÚC_OUTRIGHT,101,1293,11838.81,Kangaroo,kangaroo,n.a.,30 NET
70,Lifestyle,VN_CÔNG TY TNHH BÁN LẺ PHƯƠNG NAM_Outright,701,3168,10754.765,Thích Nhất Hạnh,Nguyễn Tường Bách,Cư Sĩ Nguyên Giác,30 NET
71,Fashion,VN_CÔNG TY TNHH CHÂU HOÀNG BÁCH_Outright,89,887,3871.6255,cnt's,cnt’s,Lata,15 NET
72,EL,VN_CÔNG TY TNHH CÔNG NGHỆ SAO VIỆT_OUTRIGHT,4,0,0.0,Forme,n.a.,n.a.,30 NET
73,EL,VN_CÔNG TY TNHH DAELUX VIỆT NAM_OUTRIGHT,35,923,7948.0234,Daewoo,Daelux,DAEWOO,30 NET
